,mail_content
0,"forecast for socal demand/rec/storage.  Looks like they will need more gas at 
ehrenberg.(the swing receipt point) than 98 or 99.
"
1,no.  I am on msn messenger.
2,"

_____________________DAVID COURSEY_____________________

GRAB A SEAT, AND JOIN ME FOR MY DINNER WITH BILL GATES

    On the eve of Windows XP's launch, I joined
         14 other journalists for a private dinner
         with the chairman and chief software architect
         of Microsoft.  We had one thing in common: When
         Bill talks, we write about it. And on this night
         he was talking, and just to us. Here's part
         one of what Bill had to say.

http://cgi.zdnet.com/slink?/adeskb/adt1026/2820297:8593142


#


_____________________NEWS ANALYSIS_____________________

Patrick Houston

    WILL THE PATRIOT ANTI-TERRORIST BILL BETRAY US?

    A new anti-terrorism law, which significantly
    expands law enforcement powers, is
    speeding into law. So now we'll see:
    Whether Congress, with our assent,
    acted wisely or whether we allowed fear
    to lead us astray.

     PLUS:

      HEY, DON'T OVERLOOK THIS: NEW LINUX
    UPGRADES, TOO

     DAIMLERCHRYSLER TALKS UP 'TELEMATICS'


http://cgi.zdnet.com/slink?/adeskb/adt1026/2820322:8593142





_____________________EXPERT ADVICE_____________________


Greg Shultz

  WANT TO TRANSFER YOUR OLD FILES TO WINDOWS XP? NO
  SWEAT!

   Moving files and settings from your old computer
         to your new XP system doesn't have to take all
         day--if you follow these guidelines. Greg
         leads you step-by-step through the entire
         process.


http://cgi.zdnet.com/slink?/adeskb/adt1026/2820277:8593142


			> > > > >


John Morris and Josh Taylor

  BEYOND THE HYPE: SEE WHAT XP HAS TO OFFER IN OUR FULL
  REVIEW

   The birth of Microsoft's newest operating
         system was arguably the most-hyped OS launch
         all of time. What's behind the noise? Josh
         and John offer up an in-depth look at Windows
         XP, along with a roundup of this week's reviews.



http://cgi.zdnet.com/slink?/adeskb/adt1026/2820306:8593142


			> > > > >


David Berlind

  SERIOUS ABOUT SECURITY? BETTER DOUBLE YOUR OPTIONS

   Think user IDs and passwords are adequate?
         Think again. Those single-factor security
         systems are quite vulnerable. Add a second
         element, such as an ID card, and the solution's
         more secure. David looks at the promise--and
         the difficulties--of two-factor security.



http://cgi.zdnet.com/slink?/adeskb/adt1026/2820266:8593142


			> > > > >


Preston Gralla

  NO MORE PLAIN JANE! 3 EASY WAYS TO JAZZ UP YOUR WEB
  SITE

   Everyone wants a great-looking Web site.
         But not everyone can create snazzy animations,
         images, and menus. Worry not. Preston rounds
         up 3 easy-to-use programs that will make your
         site sing.


http://cgi.zdnet.com/slink?/adeskb/adt1026/2820253:8593142


			> > > > >


_____________________CRUCIAL CLICKS_____________________
Make sure you see these features on ZDNet today!

EMC CHANGING TACK
http://www.zdnet.com/techupdate/stories/main/0,14179,2819328,00.html


RED CROSS SOLICITATION IS A TROJAN HORSE
http://chkpt.zdnet.com/chkpt/adeskclicks/www.zdnet.com/products/stories/reviews/0,4161,2819741,00.html

WHAT'S THE FUTURE OF LINUX?
http://chkpt.zdnet.com/chkpt/adeskclicks/www.zdnet.com/techupdate/stories/main/0,14179,2819787,00.html



******************ELSEWHERE ON ZDNET!******************

Get FREE downloads for IT pros at TechRepublic
http://cgi.zdnet.com/slink?153975:8593142

Need a new job? Browse through over 90,000 tech job listings.
http://cgi.zdnet.com/slink?153976:8593142

eBusiness Update: Content Management systems grow up.
http://cgi.zdnet.com/slink?153977:8593142

Access your computer from anywhere with GoToMyPC.
http://cgi.zdnet.com/slink?153978:8593142

Check out the latest price drops at Computershopper.com.
http://cgi.zdnet.com/slink?153979:8593142

*************************************************************






AnchorDesk comes to you free of charge as a
service of ZDNet. On its companion Web site,
AnchorDesk includes full details on the stories
you see above, plus late-breaking news, links
to in-depth information, and much more. Visit:
http://www.anchordesk.com

To subscribe, unsubscribe, or make changes to your subscription,
please go to:
 http://cgi.zdnet.com/slink?130228

We are sending this news alert to the address:
"
3,"The report named: West VaR <http://trv.corp.enron.com/linkFromExcel.asp?report_cd=36&report_name=West+VaR&category_cd=2&category_name=WEST&toc_hide=1&sTV1=2&TV1Exp=Y&current_efct_date=11/19/2001>, published as of 11/19/2001 is now available for viewing on the website."
4,"Phillip,

I hope you had a great Thanksgiving holiday.  I just wanted to drop you a
note to see if you wanted me to look for anything else for you.  We placed
the $1mm in the munis.  Let me know if you need anything else.

Sincerely,

Steve
******************************************************
Notice Regarding Entry of Orders and Instructions:
Please do not transmit orders and/or instructions
regarding your UBSPaineWebber account(s) by e-mail.
Orders and/or instructions transmitted by e-mail will
not be accepted by UBSPaineWebber and UBSPaineWebber
will not be responsible for carrying out such orders
and/or instructions.

Notice Regarding Privacy and Confidentiality:
UBSPaineWebber reserves the right to monitor and
review the content of all e-mail communications sent
and/or received by its employees."
5,"Kirk

I've added my comments.(See attached)

Given Enron's current situation, can you give a status on this overall project?

Thx

Berney Aucoin

 

 "
6,"The report named: West VaR <http://trv.corp.enron.com/linkFromExcel.asp?report_cd=36&report_name=West+VaR&category_cd=2&category_name=WEST&toc_hide=1&sTV1=2&TV1Exp=Y&current_efct_date=11/27/2001>, published as of 11/27/2001 is now available for viewing on the website."
7,"You have received this email because you are listed as a security approver. Please click http://itcapps.corp.enron.com/srrs/auth/emailLink.asp?ID=000000000079824&Page=Approval to review and act upon this request.




Request ID          : 000000000079824
Request Create Date : 12/19/01 9:17:12 PM
"
8,"Chris,

 What is the latest with PG&E?  We have been having good discussions 
regarding EOL.
 Call me when you can. X37041

Phillip"
9,"
Amazon.com Delivers Home & Garden  [IMAGE] [IMAGE]   [IMAGE]  Home  & Garde=
n   [IMAGE]  [IMAGE] Editor, Teri Kieffer  [IMAGE] October  29, 2001       =
Search:  BooksRare  & Used Books Kids' BooksSpanish BooksAll Products  Brow=
se:  Home & Garden Choose  a subject:Arts  & PhotographyBiographies  & Memo=
irs Business  & Investing Children's  BooksComputers  & Internet Cooking,  =
Food & Wine EngineeringEntertainmentGay  & Lesbian Health,  Mind & Body His=
toryHome  & GardenHorrorLawLiterature  & Fiction MedicineMystery  & Thrille=
rs NonfictionOutdoors  & Nature Parenting  & Families Professional  & Techn=
ical ReferenceReligion  & SpiritualityRomanceScienceScience  Fiction & Fant=
asySportsTeensTravel"
10,"Dear phillip,


This e-mail is automated notification of the availability of your
current Natural Gas Intelligence Newsletter(s). Please use your
username of ""pallen"" and your password to access

       NGI's Daily Gas Price Index

http://intelligencepress.com/subscribers/index.html

If you have forgotten your password please visit
  http://intelligencepress.com/password.html
and we will send it to you.

If you would like to stop receiving e-mail notifications when your
publications are available, please reply to this message with
REMOVE E-MAIL in the subject line.

Thank you for your subscription.

For information about other Intelligence Press products and services,
including maps and glossaries visit our web site at
http://intelligencepress.com or call toll-free (800) 427-5747.

ALL RIGHTS RESERVED. (c) 2001, Intelligence Press, Inc.
"
11,"
Phillip,

This is the proposal for the 1mm laddered muni portfolio.  These bonds are
currently in inventory.  Let me know what you think.

Sincerely,

Steve

 <<Phillip Allen Muni Bond Proposal.xls>>

******************************************************
Notice Regarding Entry of Orders and Instructions:
Please do not transmit orders and/or instructions
regarding your UBSPaineWebber account(s) by e-mail.
Orders and/or instructions transmitted by e-mail will
not be accepted by UBSPaineWebber and UBSPaineWebber
will not be responsible for carrying out such orders
and/or instructions.

Notice Regarding Privacy and Confidentiality:
UBSPaineWebber reserves the right to monitor and
review the content of all e-mail communications sent 
and/or received by its employees.
 - Phillip Allen Muni Bond Proposal.xls "
12,"I'm sending this early because  we expect everything to change
any minute.

The following section of this message contains a file attachment
prepared for transmission using the Internet MIME message format.
If you are using Pegasus Mail, or any another MIME-compliant system,
you should be able to save it or view it from within your mailer.
If you cannot, please ask your system administrator for assistance.

   "
13,"Imelda,

Please switch my sitara access from central to west and email me with my 
password.

thank you,

Phillip"
14,"Thanks for the response.  I think you are right that engaging an architect is 
the next logical step.  I had already contacted Cary Kipp and sent him the 
floor plan.
He got back to me yesterday with his first draft.  He took my plan and 
improved it.  I am going to officially engage Cary to draw the plans.  While 
he works on those I wanted to try and work out a detailed specification 
list.  Also, I would like to visit a couple of homes that you have built and 
speak to 1 or 2 satisfied home owners.  I will be in San Marcos on Friday 
April 13th.  Are there any homes near completion that I could walk through 
that day?  Also can you provide some references?

Once I have the plans and specs, I will send them to you so you can adjust 
your bid.  

Phillip"
15,I just refaxed. Please confirm receipt
16,"Jennifer:

If you are referring to the Wireless call, I was on the call and actively 
participated with Peter G.  I had the agenda discussion items and  guided the 
conversation. The call was brief and enabled HP and Peter G. to discuss 
wireless initiatives briefly. Then Peter G. literally read from my notes the 
""message"" you gave him about the need for HP to support the process on both 
the buy and sell sides.  

The call went well, message was delivered and Darrin will follow up with HP 
so they can come in to Enron and present the wireless intiative.

Greg Pyle and Bill Lovejoy (but not Gerry Cashiola) were on the call.  Greg 
Pyle made a note of saying that HP realized that they were going to have to 
fully support the process on both the buy and sell sides.

I will still connect back with Greg Pyle by phone.

SJ
 "
17,"Joe:
I just wanted to run this past you...
John
"
18,"Jennifer,
After the Universal-Enron conference call with Elyse Kalmans and Misha 
Siegel, we discovered the following:

The majority of the JPI is for-profit and therefore Community Relations 
cannot be a sponsoring party.
Elyse recommended I contact Mark Palmer to discuss the sponsorship and the 
value tied to EMS, Weather, Plastics & Credit.
Universal was hesitant to comment on dollar amounts for the sponsorship but 
noted $250K would be the lowest amount for the JPI Virtual Institute. 

I wanted to consult your advice as to what tactics would be best at this 
point.  Is Mark Palmer definitely the correct contact?  Would you prefer to 
contact him on this front?  

Thanks.
Colleen"
19,"George,

Happy to work for the greater good, but would welcome your help in nailing a 
deal with Continental quickly, as my understanding is that they have been 
unresponsive to date. 

Thanks

Fernley




"
20,"
Attached please find the Natural Gas market  analysis for today.
 
Thanks,
 
Bob McKinney
 - 12-26-01 Nat Gas.doc "
21,"Thanks,

They look like a startup S/W vendor so I'm not sure how big the opportunity 
will be.

Jennifer, can you please keep us in the loop as this progresses.  

Thanks
MH



	Dorothy Woster
	12/14/00 03:34 PM
		
"
22,"Catherine:
Sorry it's been so long since I could respond.  With the craziness here I am 
way behind on everything.
#1. 3 years
#2.  volume way down on exchange recently with recent volatility.  volume 
probably averaging 25000 these days.  EOL volume averaging around 14000.   
Very high percent of market.   Current market conditions shows why our 
transactional model of being one side of every trade is superior.  
#3.  good liquidity first 3 years.  okay liquidity years 4-6.
#4.  calendar 2004-2008 maybe 1 trade a day.  70% chance Enron is one side.  
calendar 2009-2013  very rare that it trades.




"
23,"Andy:
Just a couple of quick items that need to be addressed.  First, what happens 
if the delta of the option is greater than the size of the hedge offered on 
EOL?  Second, what strike are straddles traded at.  Are they set at the 
nearest 5 cent interval or are they mid-market of the EOL quote?"
24,"Can you get me an itinary of events?

 "
25,"

 "
26,"Next Wednesday....




Jennifer Shipos
09/06/2000 05:07 PM
"
27,"thought you'd be interested to hear Chad's perspective here.....


"
