,mail_content,person_entity,money_entity,organisation_entity
0,"Paula,

 I looked over the plan.  It looks fine.

Phillip",Paula Phillip,,
1," =20
=09


                        =09                       Updated: Dec. 28, 2001   =
                            [IMAGE]A hard act to follow: the future for ene=
rgy without Enron  The energy industry is beginning to imagine its future w=
ithout the swashbuckling Enron, the future of which could now rest with ban=
kruptcy courts on both sides of the Atlantic.                              =
                                                                           =
                                                                           =
                                            [IMAGE]Fight over hydro project=
 could become war Outcome could set precedent for other relicensing   Envir=
onmental issues may be deciding factor                                     =
                     [IMAGE]Shedding light on power prices EU study shows e=
nd of price transparency  Denmark residential customers pay more  VAT impac=
ts prices                                                          [IMAGE]A=
 sci-fi twist in clean coal research Bioprocessing cleans impurities  Scien=
tists create coal-adapted microbes                                         =
        PSI Energy asks Ind. regulators to approve plant transfer [IMAGE]fu=
ll story...  Arkansas PSC recommends state delay or scrap competition [IMAG=
E]full story...  Delta Petroleum acquires private Piper Petroleum [IMAGE]fu=
ll story...  Chavez expects modest oil price recovery in 2002 [IMAGE]full s=
tory...  Missouri PSC grants MGE variance on disconnections [IMAGE]full sto=
ry...  FERC backs Texas co-op in pass-through dispute [IMAGE]full story... =
 Brazil makes minor changes in new fuel market rules [IMAGE]full story...  =
With pipe/lease plan, SCG eyes Georgia, South Carolina [IMAGE]full story...=
  AGA: Storage stocks drop 81 Bcf to 2.980 Tcf; 91% full [IMAGE]full story.=
..  AES settles tariff with Brazil in industry-wide accord [IMAGE]full stor=
y...  [IMAGE]To view all of today's Executive News headlines, [IMAGE]click =
here                              Copyright ? 2001 - Platts, All Rights Res=
erved      Market Brief  Thursday, December 27  Stocks Close Change % Chang=
e DJIA 10,131.31 43.2  0.43% DJ 15 Util. 292.86 3.1  1.06% NASDAQ 1,976.36 =
15.66  0.80% S&P 500 1,157.12 7.8  0.67%     Market Vols Close Change % Cha=
nge AMEX (000) 88,986 (6,091.0) -6.41% NASDAQ (000) 1,229,831 102,400.0  9.=
08% NYSE (000) 881,030 88,396.0  11.15%     Commodities Close Change % Chan=
ge Crude Oil (Feb) 20.9 (0.37) -1.74% Heating Oil (Jan) 0.5927 (0.002) -0.3=
2% Nat. Gas (Henry) 2.52 (0.391) -13.43% Propane (Jan) 33.75 (0.50) -1.46% =
Palo Verde (Jan) 28.00 0.00  0.00% COB (Jan) 28.00 0.00  0.00% PJM (Jan) 31=
.15 0.00  0.00%     Dollar US $ Close Change % Change Australia $  1.970 0.=
002  0.10% Canada $   1.60 (0.004) -0.25% Germany Dmark  2.21 (0.011) -0.49=
% Euro   0.8835 0.004  0.50% Japan ?en  131.7 0.900  0.69% Mexico NP 9.13 0=
.000  0.00% UK Pound   0.6885 0.0006  0.09%     Foreign Indices Close Chang=
e % Change Arg MerVal 320.46 0.00  0.00% Austr All Ord. 3,354.70 19.50  0.5=
8% Braz Bovespa 13755.65 397.23  2.97% Can TSE 300  7650.60 98.01  1.30% Ge=
rmany DAX 5117.13 98.12  1.95% HK HangSeng 11359.5 149.72  1.34% Japan Nikk=
ei 225  10457.61 265.04  2.60% Mexico IPC  6414.60 6371.84  0.53% UK FTSE 1=
00 5,213.20 35.80  0.69%       Source:  Yahoo!, TradingDay.com and NYMEX.co=
m   =09                                =09  =09


 - bug_black.gif=20
 - Market briefs.xls",Chavez Henry Palo Verde Braz Bovespa,2.980 Tcf $   1.60 0.8835 0.004 0.6885 0.0006 320.46 0.00,"Enron ban=
kruptcy courts EU PSI Energy IMAG= Delta Petroleum Piper Petroleum MGE FERC SCG Executive News Util Market Vols Close Change % NYSE PJM Yahoo TradingDay.com"
2,"Attached is a new link for employees unable to attend the all-employee meeting today at 10 a.m. (CDT) at the Hyatt Regency Houston, Imperial Ballroom. If you are located in London, Calgary, Toronto, Omaha, New York, Portland (ENA) or Houston, you can access the live event at http://home.enron.com/employeemeeting.",,,ENA
3,"The attachment summarizes all of the comments filed by other parties in this proceeding.  They're now in alphabetical order by the party filing, and the ones that I added since last night are highlighted.  Let me know if you'd like a copy of any of them.

 ",,,
4,"
[IMAGE]=09[IMAGE]=09[IMAGE]=09[IMAGE]=09[IMAGE]=09[IMAGE]=09[IMAGE]=09
=09=09=09=09=09=09[IMAGE]=09
=09=09=09=09=09[IMAGE]=09[IMAGE]=09
=09=09=09=09=09[IMAGE]=09[IMAGE]=09
=09=09=09=09=09[IMAGE]=09[IMAGE]=09
=09=09=09=09[IMAGE]=09=09[IMAGE]=09
[IMAGE]  [IMAGE]   [IMAGE] =09[IMAGE]=09=09=09[IMAGE]=09 [IMAGE]   Be your =
own Boss and Work from Home.  Click here to get FREE Information on  how yo=
u can make up to $4000 per Week!!   Click Here!       [IMAGE] WELCOME!!!  W=
elcome to the first installment of The Morpheus Minute, the not-so-weekly n=
ewsletter brought to you by software makers, StreamCast Networks! As a Morp=
heus software user, you've helped shape the LARGEST p2p community in the wo=
rld, a community completely created and sustained by you and folks like you=
, all over the globe.   With The Morpheus Minute, you'll receive insider ti=
ps on new product features, answers to your most pressing technology questi=
ons, and much more! You'll even have opportunities to cash in on some great=
 contests and deals! So, let's get going!   [IMAGE] ANNOUNCING MORPHEUS 2.0=
!   Keep your eyes peeled and your ears to the ground, Morpheus 2.0 (M2) wi=
ll be launching soon! The StreamCast Networks Tech Gurus have been working =
diligently to develop a new feature set to give you the best p2p user-exper=
ience possible. M2 features include XP compatibility and links to the Gnute=
lla network, further enhancing your ability to connect and communicate with=
 millions of people all over the world. Stay tuned for more details!  [IMAG=
E] Shop Til Ya Drop!  Did the Holiday's sneak up on you again this year? Ne=
ed a present quick? Send an eGift? and relax....   StreamCast has teamed up=
 with CatalogCity to help you get organized lickety split! With CatalogCity=
's eGift? service you can send last minute gifts with lightening speed!! Ar=
e you shopping for a finicky friend? Are you unsure about sizes or favorite=
 colors? Resolve all of these problems and more with eGift?! Best of all, y=
our gift announcement arrives in minutes, so it's never too late!  Visit Ca=
talogCity today!!   [IMAGE] Ask D.C. Flash!  D.C. wants to know what's on y=
our mind! Can't find your password? Questions about compatibility? Need to =
know what shoes to wear with your orange cords? D.C. might not be able to a=
nswer that last one, but everything related to Morpheus and peer-to-peer te=
chnology is fair game!    1) When are you going to release a MAC version?  =
 We plan to have a MAC compatible version in spring of 2002. Thanks for you=
r patience.  2) I lost my password, what should I do?   All users who lose =
their passwords will be flogged repeatedly! No, no, just kidding. If you lo=
se your password, simply register as a new user and enter a new, unique use=
rname and password. Next time, we flog you.  3) After I connect and run a s=
earch, I find results, but when I try to download, I receive a message that=
 says ""more sources needed."" What should I do?   Right click on the downloa=
d and then select ""search for more sources."" This still might not find the =
download that your are looking for, but if it does not, D.C. Flash says, ""S=
earch Again!""  4) How can I talk directly with another user on-line?   Ther=
e are several ways to communicate with other users. After completing a sear=
ch, right click on the user's name you would like to contact, and send them=
 a Morpheus Message. You can also use the chat feature, which is accessible=
 through the navigation bar on the left side of the Morpheus client. Soon, =
with M2 you'll be able to contact other users with best-of-breed instant me=
ssaging services!!  Get FREE ringtones for your Nokia cell phone!! Zingy, a=
 free service that allows you to download thousands of free ringtones and l=
ogos for your Nokia cellular phone. Limited time only offer! Get them while=
 they are free! Click here    [IMAGE] Sleuth, Scoop and Set It Off!  Hey ne=
wsmongers! Do you want to be the next Big Talking Head or Super News Column=
ist? Now you have the chance! Rarely does the Little Guy have the opportuni=
ty to raise his voice, but with Morpheus software, YOU have the power to ch=
ange that. Write articles, produce video magazines, or record audio news fi=
les, it's up to you! When you're done crafting your report, place your medi=
a in your shared files folder. With Morpheus, you can--Be the Media!   Shou=
ld You Check Your Credit Report?  Of course! We all check our credit card s=
tatements for  inaccuracies and we should do the same for our credit  histo=
ry.   Click here now to check yours FOR FREE at ConsumerInfo.Com!    ADVERT=
ISE WITH US!!     SHARE RESPONSIBLY    UNSUBSCRIBE   =09[IMAGE]=09
","you=
 ti=
 Til Ya Holiday ed Ar=
 Ca=
 D.C. Flash you=
r use=
rname me=
ssaging services Zingy Column=
ist","up to $4000 with=
 millions CatalogCity=
's them=
  medi=
",StreamCast Networks The StreamCast Networks Tech Gurus XP IMAG= Ne= eGift CatalogCity MAC D.C. Flash Nokia ringtones Super News Morpheus ConsumerInfo
5,"
As you know, Enron, its directors, and certain current and former officers are defendants in litigation in Federal and State court involving the LJM partnerships.

Enron has employed counsel and they will represent Enron and its interests in the litigation.

Under the Private Securities Litigation Reform Act, we are required to preserve documents that might be used in the litigation. 

Accordingly, our normal document destruction policies are suspended immediately and shall remain suspended until further notice.

Please retain all documents (which include handwritten notes, recordings, e-mails, and any other method of information recording) that in any way relate to the Company's related party transactions with LJM 1 and LJM 2, including, but not limited to, the formation of these partnerships, any transactions or discussions with the partnerships or its agents, and Enron's accounting for these transactions.

You should know that this document preservation requirement is a requirement of Federal law and you could be individually liable for civil and criminal penalties if you fail to follow these instructions.

You should know that Enron will defend these lawsuits vigorously.  In the meantime, you should not discuss matters related to the lawsuits with anyone other than the appropriate persons at Enron and its counsel.  

If you have any questions, please contact Jim Derrick at 713-853-5550.

",Jim Derrick,,Enron Federal and State LJM the Private Securities Litigation Reform Act Company LJM 1 and LJM 2
6,"The following expense report is ready for approval:

Employee Name: Matthew F. Lenhart
Status last changed by:  Automated Administrator
Expense Report Name: MLenhart 10
Report Total: $929.29
Amount Due Employee: $929.29


To approve this expense report, click on the following link for Concur Expense.
http://expensexms.enron.com",Matthew F. Lenhart,929.29,
7,"
  [IMAGE]    Dear PHILLIP,  Your privacy is extremely important to us. You =
are receiving this offer because you are a registered member of one of our =
affiliate sites. As the leader in permission-based email marketing, the Opt=
 in Network is committed to delivering a highly rewarding experience with o=
ffers that include discounts, bargains, special offers, and sweepstakes, al=
ong with entertainment, travel and financial opportunities.   The Opt in Ne=
twork is a FREE service devoted to bringing its members the most exclusive =
promotions on the Web. (You'll quickly see that The Opt in Network will res=
pect your ""mind share"" by limiting opportunities sent to you only to the ""b=
est of the best."")  To start in high gear: As an introductory token of our =
appreciation we're giving you a FREE $5.00 Gift Certificate at Magazine Rew=
ards! You can enjoy a wide selection of more than 1,500 great titles, inclu=
ding PC Magazine, Newsweek, Time, Cosmopolitan and Maxim!  [IMAGE]   To tak=
e advantage of this special offer, just click below: http://www.opt-track.n=
et/opt .asp?AD=3D3929  Your Membership not only has its privileges, it's ju=
st a click away! We encourage you to find out why tens of millions of membe=
rs can't be wrong.  Warmest regards,  Your List Services Team Open2Win  If =
for some reason you choose not to participate in The Opt in Network and get=
 free and heavily discounted offers, click here.      Smart Deals, Just a C=
lick Away!  =09

[IMAGE]","PHILLIP al=
ong twork ju=
",5.00 tens of millions,"Network Ne= The Opt in Network res= the ""b=
est inclu= Newsweek Time tak="
8,"The Ultimate Traditional & Internet Marketing Tool, Introducing the ""MasterDisc 2002"" version 4.00, now released its MASSIVE 11 disc set with over 150 Million database records (18 gigabytes) for companies, people, email, fax, phone and mailing addresses Worldwide!

COMPLETE 11 DISC SET WILL BE SOLD FOR $499.00 PER DISC AFTER OCTOBER!!!

We've slashed the price for 15 days only to get you hooked on our leads & data products.

The first disc ver 4.00 (Contains a 1% sampling of all databases, all software titles, all demos, more then 20 million email addresses and many other resources) including unlimited usage is yours permanently for just $199.95 for your first disc (Normally $299.00) if you order today!!! Also huge discounts from 10%-50% off of data discs ver 4.01 to ver 4.10


For More Information, and Available Records Contact us:

#954-340-1018 voice

Or visit the website at:

http://www.datacommarketing.com/


**** MASTERDISC 2002 CONTENTS ****

We've gone out of our way to insure that this product is the finest of its kind available.  Each CD (ver.4.01 to ver.4.10) contains approximately 1% of the 150 million records distributed with the following files, directories and databases:

**411: USA white and yellow pages data records including the following states, and database record fields;

Included States...(Alaska, Arizona, California, Colorado, Connecticut, Hawaii, Idaho, Illinois, Iowa, Kansas, Maine, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Dakota, Ohio, Oklahoma, Oregon, Rhode Island, South Dakota, Texas, Utah, Vermont, Washington, Wisconsin, Wyoming)

Included Fields...(ID, NAME, CONTACT, ADDRESS, CITY, STATE, ZIP, PHONE, TYPE, SIC1, SIC2, SIC3, SIC4, LATITUDE, LONGITUDE, POSTAL)

#64,588,228 records



**DISCREETLIST: Adult web site subscribers and adult webmasters email addresses.

Subscribers (Email Address) #260,971 records

Webmaster (Email Address) #18,104 records



**DOCUMENTS: This directory contains very informative discussions about marketing and commercial email.

Library:	Online e-books related to marketing and commercial email
Reports:	Useful reports and documents from various topics

#7,209 Files


**EMAIL: This directory contains the email address lists broken down by groups such as domain, and more than one hundred categories into files with a maximum size of 100,000 records each for easy use. As well as several remove files that we suggest and highly recommend that you filter against all of your email lists.

#31,414,838 records and #13,045,019 removes


**FORTUNE: This database contains primary contact data relating to fortune 500, fortune 1000, and millions more corporations sort able by company size and sales. The fields that are included are as follows;

Fortune #1
Included Fields...(ID, Company, Address, City, State, Zip, Phone, SIC, DUN, Sales, Employee, Contact, Title)

#418,896 records

Fortune #2
Included Fields...(EMAIL, SIC CODE, Company, Phone, Fax, Street, City, ZIP, State, Country, First Name, Last Name)

#2,019,442 records


**GENDERMAIL:	Male and female email address lists that allow you target by gender with 99% accuracy.

Male (Email Address) #13,131,440 records
Female (Email Address) #6,074,490 records


**MARKETMAKERS: Active online investors email addresses. Also information in reference to thousands of public companies symbols, and descriptions.

#104,326 records


**MAXDISC: Online website owners, administrators, and technical contacts for website domain name owners of the "".com"", "".net"", and "".org"" sites. This database has information from about 25% of all registered domains with these extensions.

MaxDisc_Canada_2.txt
Included Fields...(ID, Domain, Contact, Admin Handle, Admin Name, Admin Email, Admin Phone, Admin Fax, Billing Handle, Billing Name, Billing Email, Billing Phone, Billing Fax, Tech Handle, Tech Name, Tech Email, Tech Phone, Tech Fax)
#74,550 records

MaxDisc_City_State_Zip_1.txt
Included Fields...(ID, City, State, Zip)
#39,175 records

MaxDisc_Country_Codes_1.txt
Included Fields...(ID, Country, Abv)
#253 records
MaxDisc_Email_Removes_1.txt
Included Fields...(ID, Email)
#163,834 records

MaxDisc_Foreign_1.txt
Included Fields...(ID,Domain,Contact,Address1,Address2,Country)
#1,924,127 records

MaxDisc_Foreign_2.zip
Included Fields...(ID, Domain, Company, Address, Admin Handle, Admin Name, Admin Email, Admin Phone, Admin Fax, Billing Handle, Billing Name, Billing Email, Billing Phone, Billing Fax, Tech Handle, Tech Name, Tech Email, Tech Phone, Tech Fax)
#2,412,834 records

MaxDisc_Meta_1.zip
Included Fields...(ID, Domain, Company, Address, City, State or Province, Zip, Country, First Name, Last Name, Email, Phone, Fax, Title, META Description, META Keywords, Body)
#293,225 records

MaxDisc_Meta_2.zip
Included Fields...(ID, Domain, Email)
#188,768 records

MaxDisc_Sic_Codes_1.zip
Included Fields...(Code, Description)
#11,629 records

MaxDisc_USA_1.zip
Included Fields...(ID, Domain, Company, Contact, Address, City, State, Zip, Phone, Fax, Sic, Email)
#1,389,876 records

MaxDisc_USA_2.zip
Included Fields...(ID, Domain, Company, Address, Billing Name, Billing Email, Billing Phone, Billing Fax, Admin Name, Admin Email, Admin Phone, Admin Fax, Tech Name, Tech Email, Tech Phone, Tech Fax)
#2,998,891 records

MaxDisc_USA_3.zip
Included Fields...(ID, Domain, Company, Address, Billing Name, Billing Email, Billing Phone, Billing Fax, Admin Name, Admin Email, Admin Phone, Admin Fax, Tech Name, Tech Email, Tech Phone, Tech Fax)
#2,005,887 records



**NEWSPAPERS: National directory of newspapers from small local papers to large metro news agencies.
Included Fields...(ID, Phone, Newspaper, City, State, Circulation, Frequency)
#9,277 records



**PITBOSS: Avid Online casino and sports book players, and casino webmasters.

Players Included Fields...(ID, FIRSTNAME, LASTNAME, ADDRESS, CITY, STATE, ZIP, COUNTRY, PHONE, EMAIL, PMTTYPE, USERID, HOSTNAME, IPADDRESS)

#235,583 records

Webmaster Included Fields...(domain, date_created, date_expires, date_updated, registrar, name_server_1, name_server_2, name_server_3, name_server_4, owner_name_1, owner_address_1, owner_city, owner_state, owner_zip, owner_country, admin_contact_name_1, admin_contact_name_2, admin_contact_address_1, admin_contact_city, admin_contact_state, admin_contact_zip, admin_contact_country, admin_contact_phone, admin_contact_fax, admin_contact_email, tech_contact_name_1, tech_contact_name_2, tech_contact_address_1, tech_contact_city, tech_contact_state, tech_contact_zip, tech_contact_country, tech_contact_phone, tech_contact_fax, tech_contact_email)
#82,371 records



**SA: South American mailing databases from more than a dozen countries. Each mailing address belongs to a Visa or MasterCard credit card holder. Available countries such as;

ARGENTINA, OSTA RICA, PERU, BRASIL, PUERTO_RICO, CHILE, PANAMA, URUGUAY, COLOMBIA, 		PARAGUAY, VENEZUELA

Included Fields...(ID, NAME, ADDRESS, CODE)

#650,456 records


**SOFTWARE: This directory contains 86 software titles, some are fully functional versions and others are demo versions. Many suites of commercial email tools as well as many other useful resources will be found here to help extract, verify, manage, and deliver successful commercial email marketing campaigns.


So overall the complete MasterDisc2002 will provide you with well over #150 million records which can be used for traditional marketing such as direct mail, fax transmission, telemarketing, and internet marketing such as commercial email campaigns. We look forward to providing you with the databases and software needed for your success!!!

We are currently shipping our October 2001 release.

Due to this incredibly discounted promotional price, we are accepting only credit card or check orders. Complete the buyer and shipping info, print and fax this form with a copy of your check attached or the completed credit card information.


For More Information, and Available Records Contact us:

#954-340-1018 voice

Or visit the website at:

http://www.datacommarketing.com/


To Order Now Return The Form Below Via Fax #954-340-1917

",Admin Handle Admin Email Admin Phone Admin Fax Sic Admin Name tech_contact_city tech_contact_country tech_contact_phone OSTA RICA,"499.00 just $199.95 299.00 #954-340-1018 64,588,228 260,971 18,104 7,209 13,045,019 418,896 2,019,442 13,131,440 6,074,490 104,326 74,550 39,175 163,834 1,924,127 2,412,834 293,225 188,768 11,629 1,389,876 2,998,891 2,005,887 9,277 235,583 82,371 650,456 #150 million #954-340-1917","The Ultimate Traditional & Internet Marketing Tool More Information Available Records (Alaska Email Address State Phone, Fax, Street Country First Name GENDERMAIL Admin Name Billing Handle Billing Name Billing Email Billing Phone Billing Fax Tech Handle Tech Name Tech Email Tech Phone, Tech Fax Country, Abv Domain,Contact,Address1,Address2,Country Domain, Company, Address Domain, Company, Address, City Last Name Domain, Company, Contact, Address, City Admin Fax, Tech Name Frequency LASTNAME PMTTYPE USERID HOSTNAME IPADDRESS date_updated name_server_1, name_server_2 name_server_3 name_server_4 owner_address_1 owner_state owner_zip owner_country admin_contact_address_1 admin_contact_city admin_contact_state admin_contact_zip admin_contact_country admin_contact_phone tech_contact_state Visa MasterCard ARGENTINA MasterDisc2002 Available Records Contact"
9,"[IMAGE]
Free* Cd Player, valued at $70.00!
=09=09=09[IMAGE]=09
[IMAGE] =09[IMAGE]=09[IMAGE]=09[IMAGE]=09
[IMAGE]=09December 28, 2001=09[IMAGE]=09[IMAGE]=09
[IMAGE]=09[IMAGE]=09[IMAGE]=09[IMAGE]=09
=09 PHILLIP, your Deluxe Hayo Digital CD Player valued at $70.00 is current=
ly being held awaiting details for shipment to you, absolutely FREE*.   Cli=
ck here  now and verify your address (we want to make sure your Deluxe Hayo=
 Digital CD Player is delivered directly to you) and to make arrangements f=
or you to receive your Deluxe Hayo Digital CD Player at no charge.   Your A=
pproval Status entitles you to receive your Deluxe Hayo Digital CD Player v=
alued at $70.00 for FREE*, and by becoming a Sprint long distance customer,=
 you can receive Sprint 7? AnyTime(SM) Online plan. You get 7? per minute s=
tate-to-state calling, with no monthly fee**. Simply remain a customer for =
90 days, complete the redemption certificate you will receive by mail, and =
we will send you your Deluxe Hayo Digital CD Player. Act now!    Respond be=
fore January 14, 2002 or you may waive your eligibility to receive your Del=
uxe Hayo Digital CD Player! These arrangements may not be available after t=
he above date.   Keep this document in a safe place. This could be the only=
 notification you may receive.   FILED: PREPARATIONS FOR:      PHILLIP  =09=
[IMAGE]=09  [IMAGE] FEATURES  ESPMax electronic skip protection for active =
use  Digital Mega Bass low-frequency enhancement for rich bass response wit=
h extremely low harmonic distortion  Digital volume control for precise pus=
h-button adjust-ment with visual confirmation via LCD display  4 playback m=
odes for listening flexibility  Includes lightweight stereo headphones and =
AC adapter    =09
=09=09=09 =09
=09=09=09 *Requires change of state-to-state long distance carrier to Sprin=
t, remaining a customer for 90 days and completion of redemption certificat=
e sent by mail.   ** When you select all online options such as online orde=
ring, online bill payment, online customer service and staying a Sprint cus=
tomer, you reduce your monthly recurring charge and save $5.95 every month.=
   Promotion excludes current Sprint customers.  =09
=09=09=09 =09
","PHILLIP Hayo Digital PHILLIP   wit=
 Sprin=
t cus=
",70.00 5.95,Digital Deluxe Hayo Digital Sprint Hayo Digital Digital Mega Bass LCD AC
