,mail_content
0,"Ina,

 Can you pull Tori K.'s and Martin Cuilla's resumes and past performance 
reviews from H.R.

"
1,"Should I appeal to Skilling.

"
2,"I also need to know the base salaries of Jay Reitmeyer and Monique Sanchez.  
They are doing the same job as Matt."
3,"Patti,

This sounds like an opportunity to land a couple of analyst to fill the gaps 
in scheduling.  Remember their rotations last for one year.  Do you want to 
be an interviewer?

Phillip
"
4,"

_____________________DAVID COURSEY_____________________

HOW TO PICK AN ALL-IN-ONE: IT'S THE FORM FACTOR, STUPID

    I'll say it straight up: There's no perfect
         device (yet) that combines a cellular phone
         and a PDA. So finding one you can live with is
         always a trade-off. My advice? Choose form
         factor first and live with the compromises.
         (Or just stick with separate gadgets.)

http://cgi.zdnet.com/slink?/adeskb/adt1120/2825838:8593142


#


_____________________NEWS ANALYSIS_____________________

Sylvia Carr

    APPLE: BRING ON XP... HP'S SPEED BOOST... PENTAGON GOING
PRIVATE...

    Might you Windows users come back to
    the Mac? Apple thinks so. It's confident
    its new OS X out-XPs Microsoft XP--enough
    to entice more than few converts into
    the Mac fold. But will it work?

http://cgi.zdnet.com/slink?/adeskb/adt1120/2825819:8593142





_____________________EXPERT ADVICE_____________________


John Morris and Josh Taylor

  WIFI AND BLUETOOTH: TOGETHER AT LAST IN A NOTEBOOK
  PC

   Everyone's been talking about wireless networking
         for some time, but where are the products?
         Josh and John have found one. The Toshiba
Port&#233;g&#233;
         4000 is the first notebook they've seen that
         is ready for the wireless world.


http://cgi.zdnet.com/slink?/adeskb/adt1120/2825769:8593142


			> > > > >


Wayne Rash

  CAN YOUR BIZ PASS A SECURITY AUDIT? HERE'S WHY IT
  MUST

   A recent review of government computing showed
         its security was sorely lacking. What about
         at your company? The nation has paid ample
         lip service to the importance of tight security,
         now it's time to act. Wayne tells you how.


http://cgi.zdnet.com/slink?/adeskb/adt1120/2825802:8593142


			> > > > >


Preston Gralla

  GOODBYE, BLOATWARE! TRY THESE 3 STRIPPED-DOWN
  HTML EDITORS

   Bloatware--fat programs stuffed with useless
         features--only create an obstacle between
         you and your beloved coding. You can do better.
         Preston picks out three downloads that offer
         just the tools HTML jockeys need.


http://cgi.zdnet.com/slink?/adeskb/adt1120/2825733:8593142


			> > > > >


_____________________CRUCIAL CLICKS_____________________
Make sure you see these features on ZDNet today!

CHECK OUT ZDNET'S COMDEX 2001 BEST OF SHOW
http://chkpt.zdnet.com/chkpt/adeskclicks/www.zdnet.com/special/filters/report/0,13324,6021645,00.html

DON'T MISS ZDNET'S HOLIDAY GIFT GUIDE
http://chkpt.zdnet.com/chkpt/adeskclicks/http://www.zdnet.com/special/holiday2001/index.html

GET YOUR VERY OWN LASER PRINTER
http://www.zdnet.com/products/stories/overview/0,8826,540321,00.html




******************ELSEWHERE ON ZDNET!******************

Did you miss COMDEX? Get all the details in our special report.
http://cgi.zdnet.com/slink?163581

Don't miss top price drops from premier vendors at ZDNet Shopper.
http://cgi.zdnet.com/slink?163582

FREE trial offers from leading business and technology magazines.
http://cgi.zdnet.com/slink?163583

Find perfect presents in our Holiday Gift Guide.
http://cgi.zdnet.com/slink?163584

Check out the most popular notebooks, handhelds, cameras, and more.
http://cgi.zdnet.com/slink?163585

***********************************************************




AnchorDesk comes to you free of charge as a
service of ZDNet. On its companion Web site,
AnchorDesk includes full details on the stories
you see above, plus late-breaking news, links
to in-depth information, and much more. Visit:
http://www.anchordesk.com

To subscribe, unsubscribe, or make changes to your subscription,
please go to:
 http://cgi.zdnet.com/slink?130228

We are sending this news alert to the address:
"
5,"
If you have any information you wish to be distributed to the class this  week, please get it to me before this upcoming Wednesday morning. Short text-bullet items are fine. I haven't been getting much information over the last 5-6 weeks, and I'm running out of class calendar entries....
You are receiving this because I have either you or your spouse listed  as a member of the leadership team for ""The Way"" Sunday school class at Second   Baptist Church. If you don't want to get weekly reminders, or have a spouse  email available, please let me know  .     
Regards, 
-- 
"
6,"give me your phone number if you do not mind.

Thanks,
"
7,"the dallas seminar dates are changing...the trader in ny is working the
straddle

mac
> "
8,"Dave,

The back office is having a hard time dealing with the $11 million dollars 
that is to be recognized as transport expense by the west desk then recouped 
from the Office of the Chairman.    Is your understanding that the West desk 
will receive origination each month based on the schedule below.

 
 The Office of the Chairman agrees to grant origination to the Denver desk as 
follows:

October 2000  $1,395,000
November 2000 $1,350,000
December 2000 $1,395,000
January 2001  $   669,600
February 2001  $   604,800
March 2001  $   669,600
April 2001  $   648,000
May 2001  $   669,600
June 2001  $   648,000
July 2001  $   669,600
August 2001  $   669,600
September 2001 $   648,000
October 2001  $   669,600
November 2001 $   648,000
December 2001 $   669,600

This schedule represents a demand charge payable to NBP Energy Pipelines by 
the Denver desk.  The demand charge is $.18/MMBtu on 250,000 MMBtu/Day 
(Oct-00 thru Dec-00) and 120,000 MMBtu/Day (Jan-01 thru Dec-01).  The ENA 
Office of the Chairman has agreed to reimburse the west desk for this expense.

Let me know if you disagree.

Phillip"
9,"Jeff,

Hear is a new NOI file.  I have added an operating statement for 1999 
(partial year).



I will try to email you some photos soon.

Phillip
"
10,"Forward Reg Dickson's resume to Ted Bland for consideration for the trading 
track program.  He is overqualified and I'm sure too expensive to fill the 
scheduling position I have available.  I will work with Cournie Parker to 
evaluate the other resumes.

Phillip"
