,mail_content,person_entity,money_entity,organisation_entity
0,"why is aeco basis so low on the list?  Is NWPL mapped differently than AECO?  
What about the correlation to Nymex on AECO?",AECO,,aeco NWPL Nymex AECO
1,"Jacques,

Would it be ok if I signed new consulting agreements with the engineer and 
architect?  They have both sent me agreements.  The only payment
that George and Larry had made was $2,350 to the architect.  I have written 
personal checks in the amounts of $25,000 to the architect and $13,950 to the 
engineer.
I was wondering if the prior work even needs to be listed as an asset of the 
partnership.  

I would like for the agreements with these consultants to be with the 
partnership not with me.  Should I wait until the partnership has been 
conveyed to sign in the name of the partnership.

Let me know what you think.

Phillip
","Jacques George Larry Phillip
","2,350 25,000 13,950",
2,"Questions about 12/29 rentroll:

 There were two deposits that were not labeled.  One for $150 and the other 
for $75.  Which apartments?  20a or #13?

 Utility overages for #26 and #44?  Where did you get these amounts?  For 
what periods?

 
What is going on with #42.   Do not evict this tenant for being unclean!!!  
That will just create an apartment that we will have to spend a lot of money 
and time remodeling.  I would rather try and deal with this tenant by first 
asking them to clean their apartment and fixing anything that is wrong like 
leaky pipes.  If that doesn't work, we should tell them we will clean the 
apartment and charge them for the labor.  Then we will perform monthly 
inspections to ensure they are not damaging the property.  This tenant has 
been here since September 1998, I don't want to run them off.

I check with the bank and I did not see that a deposit was made on Tuesday so 
I couldn't check the total from the rentroll against the bank.  Is this 
right?  Has the deposit been made yet?


 A rentroll for Jan 5th will follow shortly.

Phillip",Phillip,150 75 13 26 44 42,
3,"thank you.

 ",,,
4,"INSIDE NYTIMES.COM
The New York Times on the Web, Wednesday, December 13, 2000
______________________________________________________

Dear Member,

With the holidays approaching, we've brought together all
the information you need. In our special Holidays section,
you'll find reviews of holiday films, buying guides from
our technology experts at Circuits to help you find
computers and electronics, our special holiday Book Review
issue, information on travel in the snow or sun, and fun
ways to entertain the kids while they're home on vacation.

Holidays is updated every day with all the holiday-related
information appearing in The New York Times, and it's
available only on the Web.

http://www.nytimes.com/pages/holidays/?1213c

Elsewhere on the site you can send your friends and family
NYTimes.com e-greeting cards featuring holiday photos from
The New York Times Photo Archives, and download a new
holiday screensaver that includes ten photographs from The
Times celebrating the magical season in the city.

http://postcards.nytimes.com/specials/postcards/?1213c

At Abuzz, you can join a discussion of the best places to
find holiday gifts online.

http://nytimes.abuzz.com/interaction/s.124643/discussion/e/1.162

And at WineToday.com, you'll find the ""Holiday & Vine Food
and Wine Guide,"" to help you plan your holiday meals.
Select one of five classic seasonal entrees and let
WineToday.com recommend side dishes, desserts and the
perfect wines to uncork at the table.

http://winetoday.com/holidayvine/?1213c

Finally, please accept our best wishes for the holiday
season by visiting this special online e-greeting card:

http://postcards.nytimes.com/specials/postcards/flash/?1213c

",,,"NYTIMES.COM The New York Times Circuits NYTimes.com The New York Times Photo Archives Abuzz the ""Holiday & Vine Food
 Wine Guide"
5,"John,

Did you put Frank Hayden up to this?  If this decision is up to me I would=
=20
consider authorizing Mike G., Frank E., Keith H. and myself to trade west=
=20
power.  What do you think?

Phillip
",John Frank Hayden Mike G. Frank E. Keith H. Phillip,,
6,"Lucy,

The spreadsheet looks fine to me. 

Phillip",Lucy Phillip,,
7,"Lucy,

Here is a rentroll for this week.  I still have questions on #28,#29, and #32.
",Lucy,"28,#29 32",
8,I think Fletch has a good CPA.  I am still doing my own.  ,Fletch,,
9,"Ceci,

I received the list of properties you mailed.  Thank you very much.  I would like to stay updated on the market in Hood River and the surrounding areas in Washington as well.  I would be interested in lots as well as homes.  In case you don't still have it, my address is 8855 Merlin Ct, Houston, TX 77055.

Thank you,

Phillip Allen",Merlin Ct Phillip Allen,,
10,"
",,,
11,"Mary,

Go ahead and work with Gary to get a new fridge for #8.  

I am going to try and come down this Saturday.

Talk to you later.

Phillip",Mary Gary Phillip,8,
