,mail_content
0,"Jim,

 Updated curves will be sent no later than 11 am on Monday 2/7.  I want Keith 
to be involved in the process.  He was out today.
 
 Sorry for the slow turnaround.

Phillip"
1,"Have him send his resume to Karen Buckley in HR.  There is a new round of 
trading track interviews in May.
"
2,"If you cannot read this email, please click here .=20

Earnings.com - CPN Upgrade/Downgrade History
Earnings.com =09[IMAGE] =09
=09 [IMAGE] View Today's Upgrades/Downgrades/Coverage Initiated  Briefing  =
Calpine Corporation (CPN)       Date Brokerage Firm Action Details 10/23/20=
01  Freidman, Billings  Coverage Initiated at Buy    10/02/2001  Credit Lyo=
nnais  Upgraded to Add from Hold    09/28/2001  First Union Capital  Covera=
ge Initiated at Strong Buy    09/05/2001  Legg Mason  Coverage Initiated at=
 Strong Buy    07/25/2001  Credit Lyonnais  Downgraded to Hold  from Buy   =
 07/24/2001  Salomon Smith Barney  Downgraded to Outperform  from Buy    07=
/09/2001  Banc of America  Upgraded to Strong Buy from Buy    06/01/2001  B=
ear Stearns  Coverage Initiated at Neutral    03/13/2001  Lehman Brothers  =
Coverage Initiated at Strong Buy    01/19/2001  ABN AMRO  Upgraded to Buy f=
rom Add    01/19/2001  Banc of America  Coverage Initiated at Buy    12/18/=
2000  Credit Lyonnais  Coverage Initiated at Buy    11/09/2000  Deutsche Ba=
nk  Coverage Initiated at Strong Buy    10/05/2000  Dresdner Kleinwort Bens=
on  Coverage Initiated at Buy    09/29/2000  Banc of America  Coverage Init=
iated at Buy    08/31/2000  J.P. Morgan  Coverage Initiated at Mkt Perform =
   08/28/2000  Spencer Clarke  Coverage Initiated at Buy    08/14/2000  Mer=
rill Lynch  Coverage Initiated at Nt Buy/Lt Buy    05/29/2000  Morgan Stanl=
ey, DW  Upgraded to Strong Buy from Neutral    05/26/2000  Morgan Stanley, =
DW  Upgraded to Strong Buy from Neutral    05/22/2000  ABN AMRO  Coverage I=
nitiated at Outperform    05/16/2000  CIBC World Markets  Coverage Initiate=
d at Strong Buy    04/13/2000  Salomon Smith Barney  Coverage Initiated at =
Buy      Briefing.com  is the leading Internet provider of live market anal=
ysis for U.S. Stock, U.S. Bond and world FX market participants.   ? 1999-2=
001 Earnings.com, Inc., All rights reserved  about us  | contact us  |  web=
master  | site map   privacy policy  | terms of service  =09
"
3,"Cooper,
 
 Can you give access to the new west power site to Jay Reitmeyer.  He is an 
analyst in our group.

Phillip"
4,"George,

 Just a note to check in.  Are there any new developments?  

Phillip"
5,"Jeff,

Jacques Craig will draw up a release.  What is the status on the quote from 
Wade?  

Phillip"
6,"Jeff,

Are the books and VAR set up for simulated trading?  We began doing trades on the user id's set up by jay webb.

Phillip"
7,"These are fine.

 "
8,"Cooper,

 Did you add some more security to the expost hourly summary?  It keeps 
asking me for additional passwords and domain.  What do I need to enter?

Phillip"
9,"Lucy,

 I want to speak to Wade myself.  He can call me at work or home. Or if you 
email me his number I will call him.  
 I would like Gary to direct Wade on renovation tasks and you can give him 
work orders for normal maintenance.

 I will call you tomorrow to discuss items from the office.  Do you need Mary 
to come in on any more Fridays?  I think I 
 can guess your answer.

 I might stop by this Friday.

Phillip"
10,"Please find below our trip report to NEPCO last week.  

Thanks,

Derryl Cleaveland
Global Strategic Sourcing - Operations
Work:  713.646.7024
Cell:  713.301.8980
"
11,"Yea, I'm picking up 2 tix today....hopefully.
John



Jennifer Burns

10/09/2000 10:38 AM

"
12,"The following reports have been waiting for your approval for more than 4 days.  Please review.

Owner: Henry H Quigley
Report Name: Quigley 100301
Days In Mgr. Queue: 11
"
