,mail_content
0,"THANKS -  I'LL LOOK AT IT.


 "
1,"The information contained herein is based on sources that we believe to be
reliable, but we do not represent that it is accurate or complete.  Nothing
contained herein should be considered as an offer to sell or a solicitation
of an offer to buy any financial instruments discussed herein.  Any
opinions expressed herein are solely those of the author.  As such, they
may differ in material respects from those of, or expressed or published by
on behalf of Carr Futures or its officers, directors, employees or
affiliates.  ? 2001 Carr Futures


The charts are now available on the web by clicking on the hot link(s)
contained in this email. If for any reason you are unable to receive the
charts via the web, please contact me via email and I will email the charts
to you as attachments.


Crude     http://www.carrfut.com/research/Energy1/crude25.pdf
Natural Gas     http://www.carrfut.com/research/Energy1/ngas25.pdf
Distillate     http://www.carrfut.com/research/Energy1/hoil25.pdf
Unleaded     http://www.carrfut.com/research/Energy1/unlded25.pdf

Dec WTI/Brent Spread
http://www.carrfut.com/research/Energy1/clz-qoz.pdf
Dec Heat Crack     http://www.carrfut.com/research/Energy1/heatcrack.pdf
Dec Gas Crack     http://www.carrfut.com/research/Energy1/gascrack.pdf
Dec/May Heat Spread     http://www.carrfut.com/research/Energy1/hoz-hok.pdf
Jan/Feb Heat Spread     http://www.carrfut.com/research/Energy1/hof-hog.pdf
Nov Gas/Heat Spread     http://www.carrfut.com/research/Energy1/hux-hox.pdf
Dec Gas/Heat Spread     http://www.carrfut.com/research/Energy1/huz-hoz.pdf
Nov/Mar Unlead Spread
http://www.carrfut.com/research/Energy1/hux-huh.pdf

Nat Gas Strip Matrix
http://www.carrfut.com/research/Energy1/StripmatrixNG25.pdf
Nat Gas Spread Matrix
http://www.carrfut.com/research/Energy1/SpreadmatrixNG25.pdf

Crude and Products Spread Matrix
http://www.carrfut.com/research/Energy1/SpreadmatrixCL25.pdf



Scott Oblander
312-762-1015
312-762-1014 fax
Carr Futures
150 S. Wacker
Suite 1500
Chicago, IL 60606"
2,"Team
We are doing much better with interviews (See below). Thanks & keep up the good work. Please complete assignments on time. In addition, we need each SME as a minimum to allot 4 hours a week towards this project, which will significantly increase the potential for the end product to ""Exceed the Mark & Expectations.""

Quote for this week: ""One should always bloom, where one is planted.""

Have a great weekend and I hope to see all of you on the Oct 24th Boat Ride.

Thanks for your great efforts thus far.

Cheers
Kirk
"
3,"The report named: NG - Price P/L <http://trv.corp.enron.com/linkFromExcel.asp?report_cd=10&report_name=NG+-+Price+P/L&category_cd=5&category_name=FINANCIAL&toc_hide=1&sTV1=5&TV1Exp=Y&current_efct_date=10/23/2001>, published as of 10/23/2001 is now available for viewing on the website."
4,"The report named: NG - Price P/L <http://trv.corp.enron.com/linkFromExcel.asp?report_cd=10&report_name=NG+-+Price+P/L&category_cd=5&category_name=FINANCIAL&toc_hide=1&sTV1=5&TV1Exp=Y&current_efct_date=10/05/2001>, published as of 10/05/2001 is now available for viewing on the website."
5,"planning on going.  which night are you inviting guys for?

also, heard there were some issues about contract negotiations.  don't know 
specifics but if you want to discuss give me a call.  might be able to 
mediate this a little bit  if you want.




"
6,"good to hear.  met john galperin today.  give me a call soon to  dicuss how 
to most effectively use the line.  




"
7,"maybe.  hydro situation dire in west.  think water levels are at recent 
historical lows.  problem is from gas standpoint, west is an island right 
now.  every molecle that can go there is.  so will provide limited support to 
prices in east.  hydro in east is actually very healthy.  would assume your 
markets are targeting eastern u.s. so i dont know if hydro problem in west is 
that relevant.




Sarah Mulholland
04/04/2001 08:09 AM
"
8,"no actually i was here until 700  ... filming a movie


"
9,"Kim:
Can I get  4 tix for the following games:
Apr 21 or 22 vs. St Louis
Jun 15 vs Texas
Jun 17 vs Texas
Thanks,
John


"
10,"hey podner:
where are you buying me dinner tonight?"
11,"Debbie:
If you have availability for either session, please sign me up.  I was unsu=
re=20
I would be able to attend until now, hence the late notice.
Thanks,
John


  =20
=09Enron North America Corp.
=09
"
12,"i dont know   sounds good to me




Greg Whalley
02/28/2001 05:32 PM
Sent by: Liz M Taylor
"
13,"i loved them in that i thought they were going to go up...i think they still 
might

  3 weeks ago  now
short term very bullish  neutral
medium term neutral   neutral
longer term neutral   bearish


"
14,"Forgot, I'm leaving town tomorrow afternoon.  Will be back Thursday morn.  
We'll do it some other time."
