,mail_content,person_entity,money_entity,organisation_entity
0,"Brenda

 Can you send me your address in College Station.

Phillip","Brenda

  Phillip",,College Station
1,"What are my choices for dates?
",,,
2,"__________________________________
TECHNOLOGY ALERT
from The Wall Street Journal


Dec. 19, 2001

AT&T struck a deal to merge its cable TV business with Comcast, creating a
cable behemoth with more than 21 million customers and capping a five-month
auction that elicited bids from some of the nation's media and cable titans.

For more information see:
http://interactive.wsj.com/articles/SB1008803774562546920.htm


__________________________________
ADVERTISEMENT

Electronic Bill Presentment and Payment (EBPP) are
critical components of your e-business strategy.
Find out how powerful electronic EBPP/eSP capabilties
of IBM Content Manager OnDemand enable these technologies.
Content Manager onDemand is an essential component of high
customer satisfaction. Visit

http://www.ibm.com/software/info/visitor/db2/enewsletter/45

_________________________________
SUBSCRIPTION INFORMATION

TO REMOVE YOURSELF from this list, see:
http://interactive.wsj.com/user-cgi-bin/searchUser.pl?action=emailalert

Then uncheck the appropriate box to unsubscribe from this list.  Click on
the ""save selections"" button.

For further questions, please call our customer service department at
1-800-369-2834 or 1-609-514-0870 between the hours of 8 a.m. and 9 p.m
",OnDemand onDemand,,The Wall Street Journal AT&T Comcast EBPP IBM
3,"[IMAGE]
FREE* Digital Camera!
FREE* DIGITAL CAMERA VOUCHER=09
DIGITAL CAMERA TRANSFER SYSTEMS / DISTRIBUTION CENTER=09
=09
=09


  PENDING FREE* GIFT:  DIGITAL CAMERA   ACTION:  CLICK HERE    EXPIRES:  1/=
14/02   ID NUMBER:  7746620019-J    WE HAVE BEEN AUTHORIZED BY THE SPONSOR =
OF THIS OFFER TO ALLOCATE THIS DIGITAL CAMERA PURSUANT TO THE ALL THE DETAI=
LS WITHIN AND REGISTERED BY THE RECIPIENTS OF THIS DOCUMENT WITHIN THE ALLO=
TED TIME PERIOD     Good news PHILLIP! !   You have made the Digital Camera=
 Selection list. This means you get a FREE* Digital Camera and save money o=
n your phone bill through Sprint's long distance plan.   To receive all of =
this, click here  now!   Get ready, PHILLIP, you will immediately receive a=
ll the information you need. So sign up for Sprint's 7? AnyTimeSM Online pl=
an and the FREE* Digital Camera is yours!**   What are you waiting for... c=
lick here  now!      FREE DIGITAL CAMERA SELECTION LIST PHILLIP   FREE GIFT=
    ***CONFIDENTIAL***      ***CONFIDENTIAL***      ***CONFIDENTIAL***     =
PHILLIP   DIGITAL CAMERA      ***CONFIDENTIAL***      ***CONFIDENTIAL***   =
   ***CONFIDENTIAL***       [IMAGE]   [IMAGE]   [IMAGE] PHILLIP-7746620019-=
J [IMAGE]   =09


 *Requires change of state-to-state long distance carrier to Sprint, remain=
ing a customer for 90 days and completion of redemption certificate sent by=
 mail.  **Some restrictions apply, see site for details.  Promotion exclude=
s current Sprint customers. =09
","TED TIME PHILLIP PHILLIP    remain=
","exclude=
",Digital Camera ALLO= Digital Sprint
4," Dear Associate / Analyst Committee:

The following attachment is information regarding upcoming events in the 
Associate / Analyst program. Please ""save the date"" on your calendars as your 
participation is greatly appreciated. Any questions or concerns you may have 
can be directed to John Walt or Donna Jones. 

Thank you,

Associate / Analyst Program 
amh


  



  ",John Walt Donna Jones,,Associate / Analyst Committee
5,"If you cannot read this email, please click here. 

Earnings.com - PMCS Upgrade/Downgrade History
Earnings.com	[IMAGE]
	
	
	[IMAGE]?View Today's Upgrades/Downgrades/Coverage Initiated
	Briefing
	PMC - Sierra, Inc. (PMCS)
	
	
	
	
	
	
	
	
	Date
	Brokerage Firm
	Action
	Details
	05/14/2001 
	Freidman, Billings 
	Coverage Initiated
	at Accumulate
	
	
	
	04/23/2001 
	Merrill Lynch 
	Downgraded
	to Nt Neutral  from Nt Accum
	
	
	
	04/20/2001 
	Robertson Stephens 
	Upgraded
	to Buy from Lt Attractive
	
	
	
	04/20/2001 
	J.P. Morgan 
	Upgraded
	to Lt Buy from Mkt Perform
	
	
	
	04/20/2001 
	Frost Securities 
	Upgraded
	to Strong Buy from Buy
	
	
	
	04/20/2001 
	Goldman Sachs 
	Upgraded
	to Trading Buy from Mkt Outperform
	
	
	
	04/19/2001 
	Salomon Smith Barney 
	Upgraded
	to Buy from Outperform
	
	
	
	04/12/2001 
	J.P. Morgan 
	Downgraded
	to Mkt Perform  from Lt Buy
	
	
	
	03/22/2001 
	Robertson Stephens 
	Downgraded
	to Lt Attractive  from Buy
	
	
	
	03/20/2001 
	Frost Securities 
	Coverage Initiated
	at Buy
	
	
	
	03/14/2001 
	Needham & Company 
	Coverage Initiated
	at Hold
	
	
	
	03/12/2001 
	Salomon Smith Barney 
	Downgraded
	to Outperform  from Buy
	
	
	
	03/06/2001 
	Banc of America 
	Downgraded
	to Buy  from Strong Buy
	
	
	
	02/20/2001 
	CSFB 
	Downgraded
	to Hold  from Buy
	
	
	
	01/29/2001 
	Soundview 
	Upgraded
	to Strong Buy from Buy
	
	
	
	01/26/2001 
	Warburg Dillon Reed 
	Downgraded
	to Hold  from Strong Buy
	
	
	
	01/26/2001 
	S G Cowen 
	Downgraded
	to Neutral  from Buy
	
	
	
	01/26/2001 
	J.P. Morgan 
	Downgraded
	to Lt Buy  from Buy
	
	
	
	01/26/2001 
	Robertson Stephens 
	Downgraded
	to Buy  from Strong Buy
	
	
	
	01/26/2001 
	Adams Harkness 
	Downgraded
	to Mkt Perform  from Buy
	
	
	
	01/26/2001 
	Banc of America 
	Downgraded
	to Buy  from Strong Buy
	
	
	
	01/26/2001 
	Bear Stearns 
	Downgraded
	to Attractive  from Buy
	
	
	
	01/26/2001 
	CSFB 
	Downgraded
	to Buy  from Strong Buy
	
	
	
	01/26/2001 
	Goldman Sachs 
	Downgraded
	to Mkt Outperform  from Recomm List
	
	
	
	11/30/2000 
	Lehman Brothers 
	Downgraded
	to Neutral  from Outperform
	
	
	
	11/30/2000 
	Kaufman Bros., L.P. 
	Downgraded
	to Hold  from Buy
	
	
	
	11/16/2000 
	Merrill Lynch 
	Downgraded
	to Nt Accum  from Nt Buy
	
	
	
	11/02/2000 
	Soundview 
	Downgraded
	to Buy  from Strong Buy
	
	
	
	10/25/2000 
	Lehman Brothers 
	Downgraded
	to Outperform  from Buy
	
	
	
	10/20/2000 
	J.P. Morgan 
	Coverage Initiated
	at Buy
	
	
	
	10/17/2000 
	Paine Webber 
	Upgraded
	to Buy from Attractive
	
	
	
	10/05/2000 
	William Blair 
	Coverage Initiated
	at Lt Buy
	
	
	
	06/06/2000 
	S G Cowen 
	Upgraded
	to Buy from Neutral
	
	
	
	
	
	Briefing.com is the leading Internet provider of live market analysis for 
U.S. Stock, U.S. Bond and world FX market participants. 
	
	, 1999-2001 Earnings.com, Inc., All rights reserved 
	about us | contact us |  webmaster | site map 
	privacy policy | terms of service ","Freidman Nt Accum Robertson Stephens J.P. Morgan Salomon Smith Warburg Dillon Reed Adams Harkness 
	 Recomm List Accum   J.P. Morgan 
	 Paine Webber William Blair 
	",,"Earnings.com - PMCS PMC - Sierra, PMCS Merrill Lynch Nt Neutral Lt Buy Mkt Perform Goldman Sachs 
	 Mkt Outperform Salomon Smith 03/14/2001 
	 Banc of America Bear Stearns Goldman Sachs 
	Downgraded
	 Mkt Outperform   Lehman Brothers Kaufman Bros. L.P. 
	 U.S. Stock Earnings.com, Inc."
6,"John,


The only long term deal in the west that you could put prudency against is 
the PGT transport until 2023

Phillip",John Phillip,,PGT
7,"

 ",,,
8,"
",,,
9,"> Hi,
> We recently faced the same questions concerning our cement floor finishing
> here's what we found.
>
> Oringinal Plan: was for stamped and pigmented (color added at the cement
plant)
> with stained accents and highlighting to simulate a sautillo tile. Our
project
> is rather large 2900 sq ft SB house with 1800 sq ft porch surrounding it.
Lot's
> of cement approx. 160 sq yds. After looking at the costs we changed our
minds
> rather quickly.
>
> Labor for Stamping Crew $2500.00
> Davis Color Stain 4lbs per yd x 100 yds x $18 lb $7200.00
>
> These are above and beyond the cost of the concrete.
>
> Actual Result: Took a truck and trailer to Mexico and handpicked Sautillo
tiles
> for inside the house. Changed the color of the cement on the porch to 1lb
per yd
> mix color, added the overrun tiles we had left over as stringers in the
porch
> and accented with acid etched stain.
>
> Tiles and Transportation $3000.00
> Labor, mastic and beer. tile setting (did it myself) $1400.00
> Acid Stain for porch $ 350.00
> Davis Pigment $15 x 40 yds $ 600.00
>
> I can get you the info on the stain if you like, I ordered it from a
company the
> web, can't remember off hand who. I ordered a sample kit for $35.00 which
has 7
> colors you can mix and match for the results you want. It was easy to work
with
> much like painting in water colors on a large scale.
>
> Hope this helps you out,
>
> Matt Kizziah
>",Davis Acid Stain Davis Pigment Matt Kizziah,2500.00 3000.00 1400.00 350.00 $15 x 40 yds $ 600.00 35.00,Labor
