,mail_content
0,"Thanks.  That is an interesting idea.  I'd like to keep the rear stairway
but that might still be possible.  Anyway, let's see what happens with the
variance.  I appreciate your efforts.

By the way, did you have any problems with any of the neighbors?

Bob

"
1,"How are you ?
When I saw this screen saver, I immediately thought about you
I am in a harry, I promise you will love it!"
2,"

Get the information you need on tech stocks from TheStreet.com's
Scott Moritz before other investors know what's going on!  Get
The Tech Edge absolutely FREE for two weeks!

http://sub.thestreet.com/c/go/XTEK/DEDM-exprd1?s=S961&D=XTEK


Dear Investor:

Will some tech stocks recover before others?  Should you sell
or hold tech stocks in your portfolio?  Is there a recovery
coming?  What are the hidden stock gems that you could profit
from right now?

Scott Moritz, known in the investment community for his
uncanny scoops on tech news and stories of critical importance to
investors, provides you with all of the answers in The Tech Edge,
TheStreet.com's newest premium product.

"
3,"Frank:
One of the most likely scenarios for a VAR blowout would be a severe cold 
front hitting the country in the middle to latter part of the winter.  In 
such a circumstance, cash may separate from prompt futures similar to how 
Midwest power traded $5000+ on specific days last year while prompt futures 
were $200.  The correlation between prompt and cash is normally very strong, 
and is indicated by the small VAR associated with a spread position 
currently.  But in the winter that may change.
Another thing to keep in mind while developing this scenario is the 
assymetric risk presented by having a spread position on.  Assuming we enter 
the winter with normal to below normal storage levels, a position of long 
cash, short prompt futures has a long tail only on the positive p&l side.   
While such a trade in an efficient market has expected payout of 0, the 
payout probabilities may look like the following:

20%  $ -.05
40%     $ -.02
20% $ 0
19% $ .03
1% $ 1
   


   
	Enron North America Corp.
	
"
4,"johnny hope all is well. is ok here. new york a little stranger than normal
for obvious reasons.. wwe're trying to get back to normal. pretty stressful
cupla weeks. business has been pretty good(trading anyway) in natgas and
oil. certainly have been some changes in natgas fundamentals but too littl
too late im afraid to get bullish . market sucks and the newest shock to
macr economics im starting to think are mitigating what mite have been some
postive bullish changes like gas/oil relationship and gas shut ins. looks
shitty i think. im not as short as ive been but starting to think this witer
is waaay too high priced. just funtction timing i guess. i sold a few march
aprils again. just doesnt fit the curve and i think 80% probabitly we end
march with over 1.3 tcf in the ground. wud keep things ugle for awhile.
  anyway curious your thots as always. also wanted to say hi.have a good
weekend"
5,"
[IMAGE]=09Quote.com =09 Log In  | Sign Up  | Account Mgt.  | Insight Center=
 =09[IMAGE]=09 Get Quote/LiveCharts:  [IMAGE]  [IMAGE] FindSymbol  =09[IMAG=
E]=09
[IMAGE]=09=09=09=09[IMAGE]=09[IMAGE]=09
[IMAGE]=09=09=09=09[IMAGE]=09[IMAGE]=09
[IMAGE]=09=09=09=09[IMAGE]=09[IMAGE]=09


[IMAGE]=09     My Portfolio   | LiveCharts  | Stocks  | News  |   Msg Board=
s    | Markets  | Funds  |   IPO    |     Options        =09[IMAGE]=09


[IMAGE]=09[IMAGE] The Daily Quote=09[IMAGE] =09[IMAGE]=09
[IMAGE]=09=09Brought to you every morning as of 10 AM ET. Click on the MORE=
 link for the most current information.=09[IMAGE]=09


=09=09=09=09[IMAGE]=09=09=09=09
=09=09 =09=09    [IMAGE]  Markets     Index Last Change % Chg Dow9,093.33[I=
MAGE]69.89-0.76% NASDAQ1,632.37[IMAGE]20.35-1.23% S?5001,059.05[IMAGE]9.56-=
0.89% 30 Yr53.36[IMAGE]0.250.47% Russell420.40[IMAGE]0.66-0.15%- - - - - MO=
RE  [IMAGE][IMAGE]   Enter multiple symbols separated by a space [IMAGE]   =
 [IMAGE]=09 =09    [IMAGE]  Economic Calendar     Date Release 10/19 Core C=
PI 10/19 Trade Balance 10/22 Leading Indicators 10/24 Fed's Beige Book 10/2=
5 Durable Orders - - - - - MORE [IMAGE] [IMAGE]    [IMAGE] [IMAGE]Qcharts =
=09[IMAGE]=09
=09=09  =09  Quote of the Day   =09=09=09  Love of money is either the chie=
f or a secondary motive at the bottom of everything the Americans do.: Alex=
is de Tocqueville   =09[IMAGE]=09
[IMAGE]=09    [IMAGE]  US Stocks Pct Gainers        As of 10/19/2001 12:05 =
ET Symbol Last Change % Chg    [IMAGE] QLTI22.46[IMAGE]4.0822.19%[IMAGE] IC=
CC4.75[IMAGE]0.398.94%[IMAGE] SFA20.21[IMAGE]3.0117.50%[IMAGE] ZRAN23.74[IM=
AGE]3.220115.69%[IMAGE] GNSS38.38[IMAGE]4.9814.91%[IMAGE] ITRI26.25[IMAGE]3=
.3014.37%[IMAGE]NYSE & AMEX quotes delayed at least 20 min. At least 15 min=
. otherwise.- - - - -Personalize The Daily Quote: [IMAGE][IMAGE]Question of=
 the Day! Q. Phyllis A. McDermitt asks, ""Just what is a Value Stock?""A valu=
e stock, or value investing, is an investing strategy that tries to pick go=
od........ MORE [IMAGE]  Do you have a financial question? Ask our editor  =
 - - - - - VIEW Archive  [IMAGE] [IMAGE]    [IMAGE]=09  =09=09=09=09[IMAGE]=
    [IMAGE]  Market Outlook    Dow , Nasdaq , S?:  As Of: Oct 19 2001  9:10=
AM ET  The pre-market bias remains negative.  S?futures at 1069, trade two =
points below fair value while the Nasdaq 100 pre-market indicator is lower =
by 5.7 points.  Last night, software giant Microsoft (MSFT) posted first qu=
arter earnings of $0.43 per share excluding charges, exceeding the consensu=
s estimate by four cents. On the conference call, management indicated PC d=
emand has deteriorated further, especially in the consumer PC market. ..  M=
ORE  [IMAGE] - - - - - MORE Breaking News  [IMAGE] [IMAGE]    [IMAGE]=09[IM=
AGE]=09


 =09    [IMAGE]  Today's Feature - Friday      The Wisdom of Don Carnage  C=
arnage on the real price of petty theft, roller coasters, and self help aut=
hors, help thyselves!  [IMAGE]    [IMAGE]=09  =09    [IMAGE]  Stocks to Wat=
ch    As Of: Oct 19 2001  9:15AM ET Stocks To Watch  : The pre-market tone =
is weaker but off the worst levels of the morning as the market sifts throu=
gh the barrage of earnings news. The always highly anticipated report from =
Microsoft (MSFT +0.66) has elicited a modestly favorable reaction as the co=
mpany beat by $0.04 for the Sep qtr but guided down slightly for the Dec qt=
r. While XP and Xbox success are eventually anticipated by the company, wea=
ker consumer demand has put a damper on the roll out enthusiasm. Also in th=
e software sector we have PeopleSoft (PSFT +1.4..  MORE  [IMAGE] - - - - - =
MORE Breaking News  [IMAGE] [IMAGE]    [IMAGE]=09[IMAGE]=09
 =09=09=09    [IMAGE]  Your Watch List News     QLTI  News Visudyne(TM) the=
rapy reimbursement in U.S. expanded to include patients with occult form of=
 wet age-related macular degeneration  PR Newswire: 10/19/2001 03:55 ET QLT=
 says Visudyne sales normalized after attacks  Reuters: 10/11/2001 08:36 ET=
 QLT announces Visudyne(TM) sales for third quarter of 2001  PR Newswire: 1=
0/11/2001 03:03 ET - - - - - MORE [IMAGE]  ICCC  News IMMUCELL CORP /DE/ FI=
LES FORM 4 (*US:ICCC)  EDGAR Online: 10/04/2001 10:39 ET IMMUCELL CORP /DE/=
 FILES FORM 4 (*US:ICCC)  EDGAR Online: 10/04/2001 10:38 ET IMMUCELL CORP /=
DE/ FILES FORM 10-Q (NASDAQ:ICCC)  EDGAR Online: 08/14/2001 17:43 ET - - - =
- - MORE [IMAGE]  SFA  News Scientific-Atlanta stock soars on cost controls=
  Reuters: 10/19/2001 11:50 ET U.S. stocks slump, investors struggle with c=
loudy outlook  Reuters: 10/19/2001 11:36 ET U.S. stocks slip on murky earni=
ngs outlook, anthrax  Reuters: 10/19/2001 10:44 ET - - - - - MORE [IMAGE]  =
ZRAN  News Hot stocks highlights -- Oct. 19  Reuters: 10/19/2001 10:19 ET Z=
oran sees 10-15 pct fourth-quarter revenue growth  Reuters: 10/18/2001 16:4=
2 ET Zoran Corporation Reports Third Quarter 2001 Results With Record Reven=
ues And Units Sold  PR Newswire: 10/18/2001 16:02 ET - - - - - MORE [IMAGE]=
  GNSS  News U.S. stocks slump, investors struggle with cloudy outlook  Reu=
ters: 10/19/2001 11:36 ET U.S. stocks slip on murky earnings outlook, anthr=
ax  Reuters: 10/19/2001 10:44 ET Hot stocks highlights -- Oct. 19  Reuters:=
 10/19/2001 10:19 ET - - - - - MORE [IMAGE]  ITRI  News Hot stocks highligh=
ts -- Oct. 19  Reuters: 10/19/2001 10:19 ET Itron results boosted by automa=
tic meter readers  Reuters: 10/18/2001 17:02 ET Itron Reports Record Third =
Quarter Financial  Results; Revenues For The Quarter And Year-To-Date Were =
Up 45% And  19%, Respectively Over Last Year  BusinessWire: 10/18/2001 16:0=
0 ET - - - - - MORE [IMAGE]      [IMAGE]=09 =09

[IMAGE]
"
6,"
The Ultimate Traditional & Internet Marketing Tool, Introducing the ""MasterDisc 2002"" version 4.00, now released its MASSIVE 11 disc set with over 150 Million database records (18 gigabytes) for companies, people, email, fax, phone and mailing addresses Worldwide!

COMPLETE 11 DISC SET WILL BE SOLD FOR $499.00 PER DISC AFTER OCTOBER!!!

We've slashed the price for 15 days only to get you hooked on our leads & data products.

The first disc ver 4.00 (Contains a 1% sampling of all databases, all software titles, all demos, more then 20 million email addresses and many other resources) including unlimited usage is yours permanently for just $199.95 for your first disc (Normally $299.00) if you order today!!! Also huge discounts from 10%-50% off of data discs ver 4.01 to ver 4.10


For More Information, and Available Records Contact us:

#954-340-1018 voice

Or visit the website at:

http://www.datacommarketing.com/


**** MASTERDISC 2002 CONTENTS ****

We've gone out of our way to insure that this product is the finest of its kind available.  Each CD (ver.4.01 to ver.4.10) contains approximately 1% of the 150 million records distributed with the following files, directories and databases:

**411: USA white and yellow pages data records including the following states, and database record fields;

Included States...(Alaska, Arizona, California, Colorado, Connecticut, Hawaii, Idaho, Illinois, Iowa, Kansas, Maine, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Dakota, Ohio, Oklahoma, Oregon, Rhode Island, South Dakota, Texas, Utah, Vermont, Washington, Wisconsin, Wyoming)

Included Fields...(ID, NAME, CONTACT, ADDRESS, CITY, STATE, ZIP, PHONE, TYPE, SIC1, SIC2, SIC3, SIC4, LATITUDE, LONGITUDE, POSTAL)

#64,588,228 records



**DISCREETLIST: Adult web site subscribers and adult webmasters email addresses.

Subscribers (Email Address) #260,971 records

Webmaster (Email Address) #18,104 records



**DOCUMENTS: This directory contains very informative discussions about marketing and commercial email.

Library:	Online e-books related to marketing and commercial email
Reports:	Useful reports and documents from various topics

#7,209 Files


**EMAIL: This directory contains the email address lists broken down by groups such as domain, and more than one hundred categories into files with a maximum size of 100,000 records each for easy use. As well as several remove files that we suggest and highly recommend that you filter against all of your email lists.

#31,414,838 records and #13,045,019 removes


**FORTUNE: This database contains primary contact data relating to fortune 500, fortune 1000, and millions more corporations sort able by company size and sales. The fields that are included are as follows;

Fortune #1
Included Fields...(ID, Company, Address, City, State, Zip, Phone, SIC, DUN, Sales, Employee, Contact, Title)

#418,896 records

Fortune #2
Included Fields...(EMAIL, SIC CODE, Company, Phone, Fax, Street, City, ZIP, State, Country, First Name, Last Name)

#2,019,442 records


**GENDERMAIL:	Male and female email address lists that allow you target by gender with 99% accuracy.

Male (Email Address) #13,131,440 records
Female (Email Address) #6,074,490 records


**MARKETMAKERS: Active online investors email addresses. Also information in reference to thousands of public companies symbols, and descriptions.

#104,326 records


**MAXDISC: Online website owners, administrators, and technical contacts for website domain name owners of the "".com"", "".net"", and "".org"" sites. This database has information from about 25% of all registered domains with these extensions.

MaxDisc_Canada_2.txt
Included Fields...(ID, Domain, Contact, Admin Handle, Admin Name, Admin Email, Admin Phone, Admin Fax, Billing Handle, Billing Name, Billing Email, Billing Phone, Billing Fax, Tech Handle, Tech Name, Tech Email, Tech Phone, Tech Fax)
#74,550 records

MaxDisc_City_State_Zip_1.txt
Included Fields...(ID, City, State, Zip)
#39,175 records

MaxDisc_Country_Codes_1.txt
Included Fields...(ID, Country, Abv)
#253 records
MaxDisc_Email_Removes_1.txt
Included Fields...(ID, Email)
#163,834 records

MaxDisc_Foreign_1.txt
Included Fields...(ID,Domain,Contact,Address1,Address2,Country)
#1,924,127 records

MaxDisc_Foreign_2.zip
Included Fields...(ID, Domain, Company, Address, Admin Handle, Admin Name, Admin Email, Admin Phone, Admin Fax, Billing Handle, Billing Name, Billing Email, Billing Phone, Billing Fax, Tech Handle, Tech Name, Tech Email, Tech Phone, Tech Fax)
#2,412,834 records

MaxDisc_Meta_1.zip
Included Fields...(ID, Domain, Company, Address, City, State or Province, Zip, Country, First Name, Last Name, Email, Phone, Fax, Title, META Description, META Keywords, Body)
#293,225 records

MaxDisc_Meta_2.zip
Included Fields...(ID, Domain, Email)
#188,768 records

MaxDisc_Sic_Codes_1.zip
Included Fields...(Code, Description)
#11,629 records

MaxDisc_USA_1.zip
Included Fields...(ID, Domain, Company, Contact, Address, City, State, Zip, Phone, Fax, Sic, Email)
#1,389,876 records

MaxDisc_USA_2.zip
Included Fields...(ID, Domain, Company, Address, Billing Name, Billing Email, Billing Phone, Billing Fax, Admin Name, Admin Email, Admin Phone, Admin Fax, Tech Name, Tech Email, Tech Phone, Tech Fax)
#2,998,891 records

MaxDisc_USA_3.zip
Included Fields...(ID, Domain, Company, Address, Billing Name, Billing Email, Billing Phone, Billing Fax, Admin Name, Admin Email, Admin Phone, Admin Fax, Tech Name, Tech Email, Tech Phone, Tech Fax)
#2,005,887 records



**NEWSPAPERS: National directory of newspapers from small local papers to large metro news agencies.
Included Fields...(ID, Phone, Newspaper, City, State, Circulation, Frequency)
#9,277 records



**PITBOSS: Avid Online casino and sports book players, and casino webmasters.

Players Included Fields...(ID, FIRSTNAME, LASTNAME, ADDRESS, CITY, STATE, ZIP, COUNTRY, PHONE, EMAIL, PMTTYPE, USERID, HOSTNAME, IPADDRESS)

#235,583 records

Webmaster Included Fields...(domain, date_created, date_expires, date_updated, registrar, name_server_1, name_server_2, name_server_3, name_server_4, owner_name_1, owner_address_1, owner_city, owner_state, owner_zip, owner_country, admin_contact_name_1, admin_contact_name_2, admin_contact_address_1, admin_contact_city, admin_contact_state, admin_contact_zip, admin_contact_country, admin_contact_phone, admin_contact_fax, admin_contact_email, tech_contact_name_1, tech_contact_name_2, tech_contact_address_1, tech_contact_city, tech_contact_state, tech_contact_zip, tech_contact_country, tech_contact_phone, tech_contact_fax, tech_contact_email)
#82,371 records



**SA: South American mailing databases from more than a dozen countries. Each mailing address belongs to a Visa or MasterCard credit card holder. Available countries such as;

ARGENTINA, OSTA RICA, PERU, BRASIL, PUERTO_RICO, CHILE, PANAMA, URUGUAY, COLOMBIA, 		PARAGUAY, VENEZUELA

Included Fields...(ID, NAME, ADDRESS, CODE)

#650,456 records


**SOFTWARE: This directory contains 86 software titles, some are fully functional versions and others are demo versions. Many suites of commercial email tools as well as many other useful resources will be found here to help extract, verify, manage, and deliver successful commercial email marketing campaigns.


So overall the complete MasterDisc2002 will provide you with well over #150 million records which can be used for traditional marketing such as direct mail, fax transmission, telemarketing, and internet marketing such as commercial email campaigns. We look forward to providing you with the databases and software needed for your success!!!

We are currently shipping our October 2001 release.

Due to this incredibly discounted promotional price, we are accepting only credit card or check orders. Complete the buyer and shipping info, print and fax this form with a copy of your check attached or the completed credit card information.


For More Information, and Available Records Contact us:

#954-340-1018 voice

Or visit the website at:

http://www.datacommarketing.com/


To Order Now Return The Form Below Via Fax #954-340-1917

"
7,"Jeff:
Man is looking for money again to hold them over for yearend.  Who do I need 
to talk to?
john"
8,"houston would be easy    ireland kinda tough


"
9,"ina:
we're going to have a mandatory eol trading simulation session today at 4:00.  Can you email all traders on the floor and make sure the desk heads know.  Also, postpone my 4:00-5:00 mtgs until after 5 or tomorrow.

thanks"
