,mail_content
0,"Tara, 

 This note is documentation of my approval of granting executing id's to the 
west cash traders.
 Thank you for your help.

Phillip"
1,"This request has been pending your approval for  2 days.  Please click 
http://itcapps.corp.enron.com/srrs/auth/emailLink.asp?ID=000000000009659&Page=
Approval to review and act upon this request.





Request ID          : 000000000009659
Request Create Date : 12/8/00 8:23:47 AM
"
2,"Scott,

 Thanks for the email.  I have two questions:

 1.  The "
3,"Phillip/Mike - 
 
Per my earlier e-mail...
 
Additionally, this candidate currently works in our London office as an Analyst and is looking to come over to the Houston office.  We would like to get him into the November 1st interviews. 
 
His contact information is on the resume, but here is his number as well 
+ 4 4  ( 0 )  2 0  7 7 8 3  5 5 5 8   .
 
Thanks!
 
Adrianne
x57302
"
4,"Welcome to Enron Center South. As you have probably already noticed, things look a little different here. We wanted to orientate you to your new environment and inform you about the future technology coming on-line in the coming weeks. 

Occupancy Guidebook To Enron Center South
You will find this handy guide on your desk; it contains information concerning the enhanced printer environment, the new easy access keyboards and telephony procedures.

NEC Monitors
The NEC monitors have an internal anti-glare screen to help reduce eye strain and eliminate the need to install an additional screen cover.  Additionally, an integrated speaker has been installed on one monitor for each desk.

Turret Users
An ""Alliance MX turret quick reference guide"" has been placed on your desk; this includes important information about the new features such as ""Caller ID"" and ""Voicemail Indication"".

Increased Information Access
There are many NEC 50"" Plasma screens installed on the 5th and 6th floors.  While many of these will be displaying information designed for the specific unit, others will be displaying various television channels.  The audio to these television channels can be accessed via any of your telephony equipment.  Here's how:

Ten audio channels have been set up for access from your either your Avaya telephone, Stentophon, or IPC Turret.  The channels have been defined on Page 15 of your Turret.  To access the audio from either your Avaya or Stentophon, simply dial the extensions shown in the table below:
 
Channel	Avaya	Stentophon	
Weather Channel	12401	801	
CNN Headlines News	12402	802	
CNN Financial News	12403	803	
CNBC	12404	804	
MSNBC	12405	805	
Bloomberg	12406	806	
Financial News Network	12407	807	
CNN	12408	808	
Fox Sports	12409	809	
ESPN1	12410	810	


Wireless Telephony
You may notice the cellular phone coverage is not consistent across the floor, and some areas have virtually no coverage at all.  We are implementing a multi-network ""in-building"" system to provide consistent high quality service for the campus, keeping you in touch while you are on the move.  

Wireless LAN
The infrastructure to support Wireless LAN technology is in place and is being tested. We will be implementing multi level encryption and security to keep our intellectual property safe from eavesdroppers or hackers.

Amtel Replacement
As a move to provide a more flexible ""Plug n Play"" environment and to help with the reduced desk footprint, we have replaced the Amtel message boxes with Microsoft Exchange Instant Messaging. The Global Messaging Team is testing additional software products to provide some of the features not available with Exchange Instant Messaging; these include one-touch response keys, external LED display, and printing.  Updates will be provided as they become available.

Keeping an Open forum
"
5,"Phillip,

Thank you for meeting with us today. I want to take a few minutes to
summarize the decisions that came out of our meeting.

1. Feedback Approach: We will incorporate the ideas and suggestions you
gave us and move forward with this approach.

2. SME Review of Knowledge System Topics: When the time comes for Topics
reviews, we will send you the name of the SME who is responsible for
sign-off on each topic.

3. Conversion and Arbitrage Problems: We will brainstorm ways to
incorporate more problems without going over our 4-6 hour target. We will
meet with you next Tuesday at 10:00 to review the problems as we've
designed them so far and arrive at a solution. (I will send an e-mail
Monday with the room number.)

Have a good weekend.
Mery


This message is for the designated recipient only and may contain
privileged, proprietary, or otherwise private information.  If you have
received it in error, please notify the sender immediately and delete the
original.  Any other use of the email by you is prohibited."
6,"Will,


Here is a list of the top items we need to work on to improve the position 
and p&l reporting for the west desk.
My underlying goal is to create position managers and p&l reports that 
represent all the risk held by the desk
and estimate p&l with great accuracy.


Let's try and schedule a meeting for this Wednesday to go over the items 
above.

Phillip
 
"
7,"Lucy,

#32 and #29 are fine.  

#28 paid weekly on 1/5.  Then he switched to biweekly.  He should have paid 
260 on 1/12.  Two weeks rent in advance.  Instead he paid 260 on 1/19.  He 
either needs to get back on schedule or let him know he is paying in the 
middle of his two weeks.  He is only paid one week in advance.  This is not a 
big deal, but you should be clear with tenants that rent is due in advance.

Here is an updated rentroll.  Please use this one instead of the one I sent 
you this morning.

Finally, can you fax me the application and lease from #9.



Phillip"
8,"Monique Sanchez

Jay Reitmeyer

Randy Gay

Matt Lenhart"
9,"Stephanie

Please grant Paul the requested eol rights

Thanks,
Phillip"
10,keith holst sent you an email with the details.
11,"
"
12,"australia definitely sounds cool.  might be a little tough though.   
i'd be in for keemah if you want to do that


"
13,"Jennifer,

I spoke w/Jenny Rub about almost every BMC/EBS issue, except for this one.  I 
did not know about the issue which Bruce Smith has sent (blue text, below) to 
Jenny and Bob McAuliffe.  When I spoke w/Jenny, I was unaware of BMC's 
retraction.  It is new news to me, and at the very least, doesn't seem very 
""customer-focused"" on BMC's part.  I certainly agree w/Bruce's statement to 
the effect that BMC needs to meet w/Philippe about their pricing!

JKY

"
14,"John:

Attached please find the September MTD, YTD  Trader Performance Report for your desk.  The ranking was against the whole north America natural gas trader pool.  

If you have any questions, please call Frank Hayden or me.

Thanks,
 "
15,"is there a password or just knowing the address
"
16,"yes

 "
17,"Jeff:
In regards to the antitrust training, can you please schedule that at least 
one of the sessions starts at 3:00 or later to ensure participation by all.
Thanks,
John"
18,"Harry:

Just give me or Steve Herrup a call and we'll get moving on the options.  My 
number is 212 469 5673   - if I am not around Steve is at 212 469 5955.

Regards,

Nicholas

Nicholas Mayes Sopkin
Structured Transactions
Phone: 212 469 5673
Fax: 212 469 5630






"
19,"This request has been pending your approval for  138 days.  Please click http://itcapps.corp.enron.com/srrs/auth/emailLink.asp?ID=000000000041547&Page=Approval to review and act upon this request.





Request ID          : 000000000041547
Request Create Date : 6/19/01 7:50:30 AM
"
