,mail_content,person_entity,money_entity,organisation_entity
0,"EOL report for TV in conference on 33


Cash
 
-Hehub
-Chicago
-PEPL
-Katy
          -Waha
 
Prompt Month Nymex",,,"-Waha
 
"
1,"Anymore details?  Is the offer above or below 675?

What else do you have in a clean 11cap in a good location with room to expand?
",,,
2,"I think Steven Wolf is the person to talk to about moving Kim Olinger to a 
different RC code.",Steven Wolf Kim Olinger,,
3,"__________________________________
BUSINESS ALERT
from The Wall Street Journal


Sunday, Nov. 18, 2001

Phillips Petroleum and Conoco agreed to merge, the energy companies
announced Sunday afternoon.

For more information, see:
http://interactive.wsj.com/articles/SB1006111331760480320.htm


__________________________________
ADVERTISEMENT

An IBM e(logo)server pSeries solution for
e-business infrastructure can meet the needs
of the toughest financial environment.
Now at savings up to $33,000.
Learn more, and receive a complimentary report on IT security:

http://www.ibm.com/eserver/unix/security/l-18

__________________________________
SUBSCRIPTION INFORMATION

TO REMOVE YOURSELF from this list, see:

<http://interactive.wsj.com/user-cgi-bin/searchUser.pl?action=emailalert>
http://interactive.wsj.com/user-cgi-bin/searchUser.pl?action=emailalert

Then uncheck the appropriate box to unsubscribe from this list.  Click on
the ""save selections"" button.

When you registered with WSJ.com, you indicated you wished to receive this
Business News Alert e-mail.

For further questions, please call our customer service department at
1-800-369-2834 or 1-609-514-0870 between the hours of 8 a.m. and 9 p.m
",,"up to $33,000",The Wall Street Journal Phillips Petroleum IBM http://interactive.wsj.com/user-cgi-bin/searchUser.pl?action=emailalert WSJ.com
4,My steno is 5318.,,,
5,"
					 PLEASE NOTE:   Call-in information will change weekly.

The call-in information for the Tuesday Portland Fundamental Analysis Strategy Meeting is as follows:


						Date:			Tuesday, 11/20/01
						Time:			1:00 p.m. (PST)

						Dial In Number:	888-296-1938
						Participant Code:  	805775


If you have any questions, please contact Kathy Sheppard at 503-464-7698.

Thanks.


",Kathy Sheppard,503-464-7698,Portland Fundamental Analysis Strategy Meeting
6,"
 AutoToolBox.net  Newletter: November 2001    =09
   AutoToolBox.net [IMAGE]Welcome to the Car Site For Car People!  =09
[IMAGE]=09
[IMAGE]=09
   BROWSE       [IMAGE]  Main Page   [IMAGE]  Car Buying   [IMAGE]  Used Ca=
rs   [IMAGE]  Auto Loans   [IMAGE]  Car Insurance   [IMAGE]  Auto News   [I=
MAGE]  DMV Map   [IMAGE]  Driving Directions    [IMAGE]   OUR PARTNERS     =
  CanTire.com   Carfax   CarParts.com   CarPrices   The Tire Rack   Warrant=
ybynet     [IMAGE]   Welcome to the Car Site For Car People      [IMAGE] We=
 try to give the average person a listing of the best resources  on the web=
 related to cars and car buying. We've filtered out the hype and endless  o=
nline marketing to give you the leads to the most useful resources.   [IMAG=
E]   New Car Buying Methods       A guide to new money-saving online car-bu=
ying resources. Learn about several interesting online car-buying methods. =
What is the best way to buy a car online? Can the Internet somehow help peo=
ple  save money when buying a car? There are indeed ways to utilize the Int=
ernet  to shop for - and even buy - a less expensive car using the Internet=
.  Click here for more info  [IMAGE]    [IMAGE]   Arrive At The Dealership =
With A Pre-Approved Loan       Did you know you can get tax-deductible auto=
 loans for new or used cars? Plus: An overview of various online financing =
options. Sometimes the best way to go car shopping is with money in-hand to=
 serve  as a bargaining tool. Sometimes it is a real pain to line up at the=
 bank  to shop for loans.  Click here for more info  [IMAGE]    [IMAGE]   N=
ews Line      November USA: Toyota may extend zero-interest financing in U.=
S. (Reuters)  GERMANY: Porsche posts record profit, extends CEO contract (R=
euters)  ITALY: Lancia Thesis to lead Fiat luxury move (Reuters)  HONG KONG=
: INTERVIEW: Daimler sees big future in China, but cautious (Reuters)  USA:=
 Ford scraps Explorer hybrid  USA: Ford nears settlement in discrimation su=
its - WSJ (Reuters)  USA: GM to fold e-business unit back into company - WS=
J (Reuters)  USA: Ford names new Asia, Mazda chiefs in latest shakeup (Reut=
ers)  USA: US output down 12.5% YTD  UK: Ricardo sets up motorsport divisio=
n     [IMAGE] =09
[IMAGE]=09
[IMAGE]=09
",DMV Map    CanTire.com    GERMANY Ricardo,"auto=
  su=
",web= Internet= Toyota Reuters Porsche Lancia Thesis Fiat Daimler Ford WSJ GM Mazda
7,"

There are no physical desk to desk deals today.

  ",,,
8,"Pam,

Can you help with below?

David
 ",Pam David,,
9,"Phillip,

Here are the key points that came out of today's meeting:

1. We will move Conversion and Arbitrage from the Simulation layer into the
Knowledge System layer. We will incorporate 5-10 problems of each type.

2. You will provide us with the name(s) of people who can give us content
for these problems. We will set up two rounds of meetings; one early next
week to gather content and a second meeting for review.

3. We will change ""Gas Daily Risk"" to ""Intra-Month Risk"" throughout the
simulation. Can you provide us with a definition of Intra-Month risk?

4. Just to clarify: For conversion, we were planning to cover problems
where there is no perfect hedge so the learner has to find creative ways to
hedge, as opposed to conversion of mmBTU to decatherms, conversion of oil
volumes to natural gas volumes, etc. Is that what you had in mind too?

Thank you in advance for your help. Have a great Thanksgiving.
Mery


This message is for the designated recipient only and may contain
privileged, proprietary, or otherwise private information.  If you have
received it in error, please notify the sender immediately and delete the
original.  Any other use of the email by you is prohibited.",Phillip,,Conversion and Arbitrage
10,"We linked the file you sent us to telerate and we replace >40000 equals $250 
to a 41.67 heat rate.  We applied forward gas prices to historical loads.  I 
guess this gives us a picture of a low load year and a normal load year.  
Prices seem low.  Looks like November NP15 is trading above the cap based on 
Nov 99 loads and current gas prices.  What about a forecast for this November 
loads.

Let me know what you think.





Phillip",Phillip,40000 equals $ 250,telerate
11,"Phillip -- Is the value axis on Sheet 2 of the ""socalprices"" spread sheet 
supposed to be in $?  If so, are they the right values (millions?) and where 
did they come from?  I can't relate them to the Sheet 1 spread sheet.

As I told Mike, we will file this out-of-time tomorrow as a supplement to our 
comments today along with a cover letter.  We have to fully understand the 
charts and how they are constructed, and we ran out of time today.  It's much 
better to file an out-of-time supplement to timely comments than to file the 
whole thing late, particuarly since this is apparently on such a fast track.

Thanks.


   
	
	
	From:  Phillip K Allen                           12/13/2000 03:04 PM
	

",Phillip Mike Phillip K Allen,,
12,Check out NP Gen & Load.  (aMW),,,NP Gen & Load
