,mail_content,person_entity,money_entity,organisation_entity
0,"Johnnie,

Thank you for meeting with me on Friday.  I left feeling very optimistic 
about the panel system.  I would like to find a way to incorporate the panels 
into the home design I showed you.  In order to make it feasible within my 
budget I am sure it will take several iterations.  The prospect of purchasing 
the panels and having your  framers install them may have to be considered.  
However, my first choice would be for you to be the general contractor.

I realize you receive a number of calls just seeking information about this 
product with very little probability of a sale.  I just want to assure you 
that I am going to build this house in the fall and I would seriously 
consider using the panel system if it truly was only a slight increase in 
cost over stick built.

Please email your cost estimates when complete.

Thank you,

Phillip Allen",Johnnie Phillip Allen,,
1,"Updated to include comments received as of Friday, 10/19.  According to FERC's website, these parties have filed comments, but I don't have them yet:

Pacific Gas & Electric
CPUC
Dynegy
Williams Energy Marketing & Trading
SoCal Edison
Aquila
El Paso Natural Gas
Southern California Generation Coalition

Will summarize as soon as I get copies.

 
 ",Dynegy,,FERC Pacific Gas & Electric Williams Energy Marketing & Trading SoCal Edison
2,"
Late on October 25th, we received information about a nonspecific threat to the Enron Center.  We communicated with law enforcement officials who found the threat unsubstantiated and without merit.  Nonetheless we take all threats seriously and have increased the security presence at the Enron Center still further.  

Once again, if you observe suspicious behavior, please call security at 3-6200.",,,the Enron Center
3,Temp file until the IT group completes the Internet version. ,,,Temp
4,"

    [IMAGE]Get Approved for an Unsecured Gold Credit Card Instantly Online!  Now you can get Guaranteed instant online Approval for an Unsecured Gold Credit Card with a $5,000 credit line. That's right!!! As long as you are at least 18, a U.S resident with at least $800 in monthly household income and are not currently in bankruptcy, your [IMAGE]APPROVAL IS GUARANTEED!Enjoy great merchandise while improving your credit because the USA Gold Card reports your good credit to all three major bureaus.   We want to help you establish or reestablish your credit today!   [IMAGE]Don't wait any longer - Apply Online Today and get the credit you deserve!   Sincerely,  [IMAGE]Your New Offers Department    	


 
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
This email is not sent unsolicited. This is an Open2Win mailing!
This message is sent to subscribers ONLY.
",,"5,000 at least $800",the USA Gold Card
5,"Today's Pre-Bid Meeting will be held in 05075 from 3:00 PM to 5:00 PM



Patti:  Please pass on to the schedulers.",,,Pre-Bid Meeting
6,"To all of our esteemed & prized Internet Banking  (IBS) Clients:

You probably have begun to wonder does anyone ever return phone calls
(or e-mails). We really do but have been holed up trying to complete
this project ASAP. We knew that this might upset some clients, but we
found that this is the quickest way to fix this problem and get our
users back on-line.

We have finalized the movement of your customer account #s and re-linked
your additional accounts back to your primary Login ID (Acct #). This
process was more daunting than we anticipated and having to verify 1100
IBS users and account #s (to insure your data integrity and
confidentiality) was even more grueling than expected. After verifying
data and Login IDs, we believe that we are on the right track. Some of
you (our IBS clients) might notice your accounts displayed more than
once or additional accounts displayed that you may (or may not) want
displayed on your IBS screen. Should this be the case, please e-mail (or
phone) the information to us and we will remove this information right
away.

To our IBS Billpayer clients:

During this process, we seem to have misplaced (blown away) your bill
payment information (particularly anyone that has [had] reoccurring
payments scheduled to process on particular days). This has become our
highest priority to retrieve this information, thus alleviating the
process of having to request that our IBS Billpayers re-enter this
information. We are going to waive all bill payment charges for the
months of November & December, 2001 to try and regain your confidence
(and support).

Again, we deeply express our regrets and hope that we (yourselves and
ourselves) do not have to go through this process again. Should you be
one of our IBS clients that still has not gained access to your account
information, please refer to the following information:

1)  You have entered your password incorrectly (or what you thought was
the correct password) and been given the error message ""You have failed
to correctly login three times today; please try again tomorrow, or
contact the bank at 830-379-5236 to have your password reset."" This is
the easiest problem to correct and we can fix this one quickly with you
online (on the phone or by e-mail [our preferred method]). Should you
receive this message, please call our Computer Department and ask for
",Billpayer,#s,ASAP Computer Department
7,"
			
		PHILLIP, Look for this great offer in the mail or get 12 CDs for the price of 1 online right now ! 	
		[IMAGE] 	
		[IMAGE] 	


P.S. Click here  to forward this e-mail to your friends
so everyone can enjoy this unbeatable offer on CDs!
**************************************************
If you'd rather not receive e-mail from BMG Music Service, please click here .
[IMAGE]",,,BMG Music Service
8,"

_____________________DAVID COURSEY_____________________

WHY THE RIAA OWES US ALL AN APOLOGY

    When recording industry types last week tried
         to get provisions against music swappers
         included in anti-terrorism legislation,
         they trivialized everyone involved in America's
         fight against terrorism--and proved themselves
         to be absolutely the sort of people who'd do
         anything for a buck.

http://cgi.zdnet.com/slink?/adeskb/adt1018/2818346:8593142


#


_____________________NEWS ANALYSIS_____________________

Patrick Houston

    WHAT'S MS' ULTIMATE GOAL FOR XP? HINT: WAY MORE THAN AN OS

    When you first try out Windows XP, you're
    reminded no less than five--count 'em,
    five--times to sign up for its Passport
    authentication service. These pleas
    speak of far more than Microsoft's persistence.
    Like what? Like how it plans to become
    another AOL inside an OS.

     PLUS:

      APPLE HINTS AT 'BREAKTHROUGH' DEVICE.
    WHAT COULD IT BE?

      PALM V GETS SOME BLACKBERRY JUICE

http://cgi.zdnet.com/slink?/adeskb/adt1018/2818350:8593142





_____________________EXPERT ADVICE_____________________


C.C. Holland


   BANISH YOUR BLANK WALLS WITH HELP FROM THE WEB

   If you want to decorate your space but are having
         trouble finding the right posters or prints,
         just turn to your computer! C.C. shows you
         where to find great selections of art online
         (and get your picks delivered to your door).



http://cgi.zdnet.com/slink?/adeskb/adt1018/2818372:8593142


=09=09=09> > > > >


Janice Chen

  SLOW PC? NO PROBLEM! FIX UP YOUR CLUNKER FOR UNDER
  $50

   Sure, if you have a need for speed, you could
         buy a new PC. But you can also streamline your
         older PC by tuning up your hard drive with a
         good utility. Janice hunts for bargains (and
         freebies!) that'll rev you up in no time.


http://cgi.zdnet.com/slink?/adeskb/adt1018/2818264:8593142


=09=09=09> > > > >


Preston Gralla


   TURN YOUR PC INTO A MOVIE THEATER--FOR FREE!

   If you like finding music online, you'll love
         getting movies. With the right tools, you
         can download, watch, and trade films and videos
         on your PC. Preston offers up three freebies
         that'll have you reaching for the popcorn.



http://cgi.zdnet.com/slink?/adeskb/adt1018/2818260:8593142


=09=09=09> > > > >


_____________________CRUCIAL CLICKS_____________________
Make sure you see these features on ZDNet today!

MICROSOFT.COM GAFFE REVEALS PASSWORDS
http://www.zdnet.com/techupdate/stories/main/0,14179,2818129,00.html


ENTERPRISE E-MAIL GETS UP AND GOES
http://chkpt.zdnet.com/chkpt/adeskclicks/www.zdnet.com/techupdate/stories/m=
ain/0,14179,2817463,00.html

CEO CRAIG BARRETT SHARES INTEL'S ITANIUM VISION
http://chkpt.zdnet.com/chkpt/adeskclicks/www.zdnet.com/techupdate/stories/m=
ain/0,14179,2816881,00.html



******************ELSEWHERE ON ZDNET!******************

Find the facts on firewalls and compare other security solutions.
http://cgi.zdnet.com/slink?151259:8593142

Laid off? Check out over 90,000 tech job listings.
http://cgi.zdnet.com/slink?151260:8593142

Take SmartPlanet's online classes for the skills you need to get ahead.
http://cgi.zdnet.com/slink?151261:8593142

Get 100=12s of IT downloads FREE from TechRepublic.
http://cgi.zdnet.com/slink?151262:8593142

eBusiness Update: Can dot-coms benefit from filing for bankruptcy?
http://cgi.zdnet.com/slink?151263:8593142

*************************************************************




AnchorDesk comes to you free of charge as a
service of ZDNet. On its companion Web site,
AnchorDesk includes full details on the stories
you see above, plus late-breaking news, links
to in-depth information, and much more. Visit:
http://www.anchordesk.com

To subscribe, unsubscribe, or make changes to your subscription,
please go to:
 http://cgi.zdnet.com/slink?130228

We are sending this news alert to the address:
","Patrick Houston

     C.C. Janice Chen Janice http://cgi.zdnet.com/slink?/adeskb/adt1018/2818264:8593142 Preston Gralla http://chkpt.zdnet.com/chkpt/adeskclicks/www.zdnet.com/techupdate/stories/m=
ain/0,14179,2817463,00.html CRAIG BARRETT http://chkpt.zdnet.com/chkpt/adeskclicks/www.zdnet.com/techupdate/stories/m=
",50,RIAA 'S MS' Microsoft AOL Preston ZDNet INTEL ITANIUM ZDNET http://cgi.zdnet.com/slink?151260:8593142 SmartPlanet http://cgi.zdnet.com/slink?151261:8593142 TechRepublic AnchorDesk
9,"Brenda,

 The word document attached is a notice/consent form for the sale.  The excel 
file is an amortization table for the note.
You can use the Additional Principal Reduction to record prepayments.  Please 
email me back to confirm receipt.


Phillip





",Brenda Phillip,,
