,mail_content,person_entity,money_entity,organisation_entity
0,"Cary,

Here is the picture of the house I have in mind.  I was going for a simple 
farmhouse style to  place on 5 acres near Wimberley.  

A few points that might not be obvious from the plans are:

There will be a double porch across the back just like the front
No dormers (Metal roof)
1/2 bath under stairs
Overall dimensions are 55 by 40


What I am looking for is a little design help in the kitchen.  More cabinets, 
maybe a different shaped island, and a way to enlarge the pantry.    Reagan 
suggested that I find a way to make the exterior more attractive.  I want to 
keep a simple roof line to avoid leaks, but I was thinking about bringing the 
left
side forward in the front of the house and place 1 gable in the front.  That 
might look good if the exterior was stone and stucco.  Also the front porch 
would 
be smaller.

I have 3 bids from builders all around $325,000.  I am ready to go ahead and 
have the plans done so I can spec out all the finishings and choose a builder.
I just wanted to give you the opportunity to do the work.  As I mentioned my 
alternative is $0.60/ft.  I thought that since I had a such a detailed 
sketch, you might consider the job for less than the $6,000 that Reagan 
allowed.

Phillip Allen
713-853-7041







",Reagan Phillip Allen,"325,000 0.60 6,000",
1,"8500?????  That's twice as valuable as your car!  Can't you get a used one 
for $3000?",,3000,
2,"Lucy,

Here is a rentroll for this week.  I still have questions on #28,#29, and #32.
",Lucy,"28,#29 32",
3,"Lucy,

Here is a new file for 12/15.




For the rentroll for 12/08 here are my questions:

 #23 & #24 did not pay.  Just late or moving?

 #25 & #33 Both paid 130 on 12/01 and $0 on 12/08.  What is the deal?

 #11  Looks like she is caught up.  When is she due again?


Please email the answers.

Phillip
  ",Lucy Phillip,#23 & #24 #25 & 12/01 and $ 11,
4,"go to market with 2.635 stop


__________________________________________________
Do You Yahoo!?
Make a great connection at Yahoo! Personals.
http://personals.yahoo.com",,,Yahoo
5,"Kathy,

Regarding the guest password for gas daily, can you please relay the 
information to Mike Grigsby at 37031 so he can pass it along to the user at 
gas daily today.  I will be out of the office on Friday.

thank you

Phillip",Kathy Mike Grigsby Phillip,,
6,"Please find attached the pro formas for the project in San Marcos.

Thanks again.

",,,
7,"Lucy, 

Here is a rentroll for this week.  

What is the outstanding balance on #1.  It looks like 190 + 110(this week)= 
300.  I don't think we should make him pay late fees if can't communicate 
clearly.

#2 still owe deposit?

#9  What day will she pay and is she going to pay monthly or biweekly.

Have a good weekend.  I will talk to you next week.

In about two weeks we should know for sure if these buyers are going to buy 
the property.  I will keep you informed.

Phillip",Lucy Phillip,,
8,"Greg/Phillip,

I will need Two (2) executed copies of the agreement.

Hunter Williams
Grande Communications
512-878-5467

>  ","Hunter Williams
",,Greg/Phillip Grande Communications
9,"Attached  are two files that illustrate the following:

As prices rose, supply increased and demand decreased.  Now prices are 
beginning to fall in response these market responses. 









",,,
10,I will email you with the insurance info tomorrow.  ,,,
11,"Lucy,

Please fix #41 balance by deleting the $550 in the ""Rent Due"" column.  The 
other questions I had about last week's rent are:

#15  Only paid 95 of their 190 on 1/19 then paid nothing on 1/26.  What is 
going on?

#25  Looks like she was short by 35 and still owes a little on deposit

#27 Switched to weekly, but paid nothing this week.  Why?

I spoke to Jeff Smith.  I think he was surprised that we were set up with 
email and MSN Messenger.  He was not trying to insult you.  I let Jeff know 
that he should try and meet the prospective buyers when they come to see the 
property.  Occasionally, a buyer might stop buy without Jeff and you can show 
them around and let them know what a nice quiet well maintained place it is.  

Regarding the raise,  $260/week plus the apartment is all I can pay right 
now.  I increased your pay last year very quickly so you could make ends meet 
but I think your wages equate to $10/hr and that is fair.  As Gary and Wade 
continue to improve the property, I need you to try and improve the 
property's tenants and reputation.  The apartments are looking better and 
better, yet the turnover seems to be increasing.  

Remember that as a manager you need to set the example for the tenants.  It 
is hard to tell tenants that they are not supposed to have extra people move 
in that are not on the lease, when the manager has a houseful of guests.  I 
realize you have had a lot of issues with taking your son to the doctor and 
your daughter being a teenager, but you need to put in 40 hours and be 
working in the office or on the property during office unless you are running 
an errand for the property.

I am not upset that you asked for a raise, but the answer is no at this 
time.  We can look at again later in the year.

I will talk to you later or you can email or call over the weekend.

Phillip


","Lucy Jeff Smith Jeff Gary Wade 
 Phillip",41 550 15 25 27 260,
12,"Mac,

I checked into executing my options with Smith Barney.  Bad news.  Enron has 
an agreement with Paine Webber that is exclusive.  Employees don't have the 
choice of where to exercise.  I still would like to get to the premier 
service account, but I will have to transfer the money.  

Hopefully this will reach you.

Phillip",Paine Webber Phillip,,Mac Smith Barney
13,"Will,


Here is a list of the top items we need to work on to improve the position 
and p&l reporting for the west desk.
My underlying goal is to create position managers and p&l reports that 
represent all the risk held by the desk
and estimate p&l with great accuracy.


Let's try and schedule a meeting for this Wednesday to go over the items 
above.

Phillip
 
","Phillip
 
",,
14,"i suck-hope youve made more money in natgas last 3 weeks than i have. mkt shud
be getting bearish feb forward-cuz we already have the weather upon us-fuel
switching and the rest shud invert the whole curve not just dec cash to jan 
and
feb forward???? have a good weekend john
","jan 
 john
",,mkt feb forward
15,"Thx,
I do not have high speed service yet.




Ina Rangel
10/12/2000 10:28 AM
",Rangel,,
16,"fyi:
",,,
17,"Mary:
These agreements are acceptable.  Please sign the give up agreements with 
Banc One.
John




MARY COOK
07/19/2000 02:30 PM
","Mary John




 MARY COOK",,Banc One
18,"hey:
when are you back in town??",,,
19,"(See attached file: g051401.pdf)


______________________________________________________________________________
_______________________________________________________

Ce message et toutes les pieces jointes (ci-apres le ""message"") sont etablis 
a l'intention exclusive de ses destinataires et sont confidentiels. Si vous 
recevez ce message par erreur, merci de le detruire et d'en avertir 
immediatement l'expediteur.

Toute utilisation de ce message non conforme a sa destination, toute 
diffusion ou toute publication, totale ou partielle, est interdite, sauf 
autorisation expresse.

L'internet ne permettant pas d'assurer l'integrite de ce message, BNP PARIBAS 
(et ses filiales) decline(nt) toute responsabilite au titre de ce message, 
dans l'hypothese ou il aurait ete modifie.
 
",ci-apres le immediatement l'expediteur toute responsabilite au,,"l'intention merci de le detruire et d'en avertir Toute utilisation de ce totale ou partielle sauf 
autorisation expresse BNP PARIBAS 
 il aurait ete modifie"
20,"only if you promise to post regular updates on the trucking market.  

call chris gaskill to get the password.  


",chris gaskill,,
21,"may be looking to sell some naked calls soon.  can you check that i would be 
approved to sell 200 of either 65 or 70's expiring somewhere between jul-jan. 
 also, if i sell naked calls with a tenor of more than one year that expire 
worthless, do the gains get counted as LT cap gains?",,,LT
22,"i rsvp
",,,
23,"don't care about the front.  i think its vulnerable to a good short squeeze 
like we saw on thruday and friday.  trade is getting short in here with cash 
such a piece.  if weather ever changes, which the weather boys are saying it 
might in 2 weeks, the cash players are going to be big buyers.  don't really 
want to carry length on the way down waiting for that to happen though.   
Backs are crazy stong.  cal 3 traded as high as +10.  everybody a buyer as 
california trying to buy any fixed price energy they can find




",,,thruday
24,"The information contained herein is based on sources that we believe to be
reliable, but we do not represent that it is accurate or complete.  Nothing
contained herein should be considered as an offer to sell or a solicitation
of an offer to buy any financial instruments discussed herein.  Any
opinions expressed herein are solely those of the author.  As such, they
may differ in material respects from those of, or expressed or published by
on behalf of Carr Futures or its officers, directors, employees or
affiliates.  ? 2001 Carr Futures


The charts are now available on the web by clicking on the hot link(s)
contained in this email. If for any reason you are unable to receive the
charts via the web, please contact me via email and I will email the charts
to you as attachments.


Crude     http://www.carrfut.com/research/Energy1/crude43.pdf
Natural Gas     http://www.carrfut.com/research/Energy1/ngas43.pdf
Distillate     http://www.carrfut.com/research/Energy1/hoil43.pdf
Unleaded     http://www.carrfut.com/research/Energy1/unlded3.pdf

Jan WTI/Brent Spread
http://www.carrfut.com/research/Energy1/clf-qof.pdf
Jan Heat Crack     http://www.carrfut.com/research/Energy1/heatcrack.pdf
Jan Gas Crack     http://www.carrfut.com/research/Energy1/gascrack.pdf
Dec/May Heat Spread     http://www.carrfut.com/research/Energy1/hoz-hok.pdf
Jan/Feb Heat Spread     http://www.carrfut.com/research/Energy1/hof-hog.pdf
Dec Gas/Heat Spread     http://www.carrfut.com/research/Energy1/huz-hoz.pdf
Feb Gas/Heat Spread     http://www.carrfut.com/research/Energy1/hug-hog.pdf
Dec/Mar Unlead Spread
http://www.carrfut.com/research/Energy1/huz-huh.pdf

Nat Gas Strip Matrix
http://www.carrfut.com/research/Energy1/StripmatrixNG43.pdf
Nat Gas Spread Matrix
http://www.carrfut.com/research/Energy1/SpreadmatrixNG43.pdf

Crude and Products Spread Matrix
http://www.carrfut.com/research/Energy1/SpreadmatrixCL43.pdf

Scott Mollner Recomendation
http://www.carrfut.com/research/Energy1/recom11-27-01.pdf","Jan WTI Brent Spread
 http://www.carrfut.com/research/Energy1/heatcrack.pdf
 Scott Mollner",,Carr Futures
25,"porsche boxster (maybe the bmw one) instead or 5000 they raffle a car...hahahaha johnny..only exempt group is egm crude and products which keeps hiring and hiring

also dont you think it was about time there was one fundamentals group where all information was shared and disseminated to trading

 ",johnny,,bmw egm
26,"Fred- 

There are a number of issues we need to address with back office procedures immediately.  We are losing money on avoidable problems and gaining a bad reputation in the market.  Lets get Derek and Michelle together Tuesday afternoon.

2 of our counterparties are writing letters of complaint.. here's a sample of some of the quotes we have heard from the 10 counterparties we have added in the last 6 months.  

""I shouldn't have to spend my time decomposing the invoices and confirmations you send out"" 
""It has been 10 days since we traded and we haven't received a shred of paper to give us the details of the trade"" 
""We are being told in a confirm something different than we are being invoiced for"" 
""We did not trade 300 contracts per day, it was per month - do you guys even think before you type"" 
""I am a CFO and an accountant and I can't decipher what you are trying to confirm here"" 


From a business dinner where a client of ours was speaking casually to large industrials and endusers. One, upon the mentioning of B2B exchanges said ""they WILL NOT ever trade on EOL again because the backoffice procedure was such a nightmare.. they couldn't rely on the accuracy or timeliness of the confirm.  This was a captive client who and needs to trade... who will not show us their flow again. 

The latest is the most disturbing:

""we just want to do a small trade to test your system. We have heard it is a nightmare but want to see for ourselves - I mean how difficult can it be to book the purchase of 50 lots of crude"" And still 5 days later they do not have one paper to show the details, not one phone call to confirm the trade...nothing.  We even warned the BO that this was a new customer and to make best eforts to make sure the process runs smoothly and efficiently. Well, clearly we failed

We do not understand what is going on in the back office.  Is it that they are too disconnected from our daily operations to understand how integral their accurracy is to our business?  Is there too much turnover? How are they trained?  Who is in charge of the ""backoffice""?  There seems to be a different manager for every step of the process.. who co-ordinates all their efforts?  Does anyone care?  Ok.. I'll stop.. For our part, we have Michelle coming up to NY for a week in December (we wanted this to happen as soon as she started but did not work for her).

We have to stop this before we lose clients (which we will).  

All the problems are being caused by the following:

1. Our inability to generate an accurate position report for our clients.  This has already cost us money this year. Our clients do 10 trades a day.. they are constantly in and out of positions.. it is imperative that we get these right.  As well, this report is our ONLY check to make sure deals are entered and entered correctly into the system.

There are hundreds of books at Enron.  We have postions on with dozens of them.  We currenttly do not have an automated mechanism to pull deals from every book in one shot.  We have to select books one by one.. this method will always result in books being ommmitted given our deal flow.

Michelle is in charge of this process.  We need a IT person on this yesterday.  Michelle is spending most of her day verifying the validity of the report she generates.  Robyn, Russell, and I check it everyday.. there are always mistakes.

2. There is a breakdown in the backoffice functions after Michelle collects the tickets we write and verbally confirms them.  There is no check after they have been imput.  There are ALWAYS imput errors.  Michelle needs to check every deal after its entered into the system going forward.  

We also have NO set procedures for the bookings of deals.  We have no idea where our job ends and the book admin's starts.. for non standard deals like gas dailies and swaptions we need to know the exact process from start to finish.

2a. Confirms are sent immediately after deals are entered.. what if deals are imput incorrectly? the confirm goes out anyway resulting in mass confusion at the client.  Going forward, confirms need to be delayed until we can confirm that everything about the deal is correct.

2b. Invoicing.. there have been dozens of occassions where the amounts we are invoicing do not match the deals done.. 

3. EOL- We are pushing hard to get counterparties on here.. we have signed Renaissance up (a 10B program fund) but I shudder to see how EOL will fair at these tasks.  

4. Credit- All of our clients are margined.  If deals are in the system incorrectly, the wrong MTM goes to the client.. another mis-match.  We work closely with credit since we need to collect initial margin from some clients.. this amount changes daily- we need someone who can get on the phone with clients and explain these numbers through.. again, we are doing this now.

 

 

 

 ",Lets Derek Michelle Robyn Russell,,CFO Enron Renaissance MTM
27,"
I have you buyiing 1000 NY Football Giants from me at $12 and paying Horowitz $8000 from which leaves a balance of  $4000. I can just get it sometime when I see you I just don't want to forget. ",Horowitz,12 8000 4000,NY Football Giants
