,mail_content,person_entity,money_entity,organisation_entity
0,"Paula,

 35 million is fine

Phillip",Paula,,Phillip
1,"John Lavorato-M

Mike Grigsby-D
Keith Holst-D
Frank Ermis-D
Steve South-D
Janie Tholt-D

Scott Neal-P
Hunter Shively-P
Tom Martin-P
John Arnold-P",John Lavorato-M Mike Grigsby-D Keith Holst-D Frank Ermis-D Steve South-D Janie Tholt Scott Neal-P Tom Martin-P John Arnold-P,,
2,"Ina,
 Please sign me up for this course whenever Hunter is signed up. Thanks",Hunter,,Ina
3,"Lucy,

Why did so many tenants not pay this week?

#12 95
#21 240
#27 120
#28 260
#33 260

Total 975

It seems these apartments just missed rent.  What is up?

Other questions:

#9-Why didn't they pay anything?  By my records, they still owe $40 plus rent 
should have been due on 12/12 of $220.

#3-Why did they short pay?
",Lucy,40 12/12 of $220 3-Why,
4,"George & Larry,


 If possible,  I would like to get together in Columbus as Larry suggested.  
Thursday afternoon is the only day that really works for me.  
Let me know if that would work for you.  I was thinking around 2  or 2:30 pm.

I will try to email you any questions I have from the latest proforma 
tomorrow.


Phillip
",Larry Phillip,,George & Larry
5,"George,

     Your attachment is not opening on my computer.  Can you put the info in 
Word instead?

Thanks,

Phillip
","George Phillip
",,
6,"This request has been pending your approval for  12 days.  Please click http://itcapps.corp.enron.com/srrs/auth/emailLink.asp?ID=000000000067320&Page=Approval to review and act upon this request.





Request ID          : 000000000067320
Request Create Date : 10/11/01 10:24:53 AM
",,,http://itcapps.corp.enron.com/srrs/auth/
7,"
That is fine!




",,,
8,"ISC - Customer Service Survey Ticket#HD0000000650010, Password Reset




: Thank you for taking the time to fill out our Customer Service Survey.
Your input is crucial to our continued efforts in establishing and providing you with World Class Support.

Please take a minute and complete the 5 question survey then submit it back to us when you are done.

Once again, thank you for your participation.

ISC Customer Care Group

http://rc.enron.com/survey/survey_1.asp?id=000000000002507



",,,ISC - Customer Service Survey Customer Service Survey World Class Support ISC Customer Care Group
9,"[IMAGE]

Phillip:

Please excuse my oversight is not getting the proforma back to you in a 
usable format.? I did not realize that I had selected winmail.dat rather than 
sending it as an attachment.?? Then, I did not notice that I had overlooked 
your email until today. ??That spread sheet is attached and an updated 
proforma will go out to you this evening or tomorrow morning with a timeline.

?

George W. Richards

Creekside Builders, LLC

?
 - image001.jpg
 - image001.jpg
 - SM134 Proforma.xls",Phillip George W. Richards,,winmail.dat Creekside Builders LLC Proforma.xls
10,"Colleen,

 I am out ot the office on Friday, but Keith Holst will attend.  He has been 
managing the Transport on the west desk.

Phillip",Colleen Keith Holst Phillip,,Transport
11,"Lucy,

 Now that #44 is rented and you have settled in for a couple of months, we 
need to focus on expenses and recordkeeping.

 First, I want to implement the following changes:

  1.  No Overtime without my written (or email) instructions.
  2.  Daily timesheets for you and Wade faxed to me daily
  3.  Paychecks will be issued each Friday by me at the State Bank
  4.  No more expenditures on office or landscape than is necessary for basic 
operations.


 Moving on to the checkbook, I have attached a spreadsheet that organizes all 
the checks since Jan. 1.
 When you open the file, go to the ""Checkbook"" tab and look at the yellow 
highlighted items.  I have questions about these items.
 Please gather receipts so we can discuss.

Phillip



","Lucy Wade Phillip



",44,the State Bank
