,mail_content,person_entity,money_entity,organisation_entity
0,How about Tuesday at 11:15 in front of the building?,,,
1,"Grif,

Please provide a temporary id

Phillip
",Phillip,,Grif
2,"Susan hours are out of hand.  We need to find a solution.  Let's meet on 
Monday to assess the issue

Phillip",Susan hours Phillip,,
3,"The Resolution Center will be decommissioning one of its 888 numbers (888-877-7757) as of January 7, 2002.
You can continue to contact the Resolution Center, Toll Free, by using the following steps: 
To contact the ENW IT Resolution Center:
? Call 1-800-973-6766 (1-800-97-ENRON)
? Select 1 to transfer to an extension within the Enron Building
? Select 31411 and you will be transferred to the helpdesk.
The following options are also available through the toll-free number:
0: Connect to voice directory
1: Transfer to an extension in the Enron building
2: Access voicemail in the Enron building
3: Transfer to 3 Allen Center
4: Transfer to Omaha
5: Transfer modem or fax with 646 prefix
6: Speak to an Enron operator
7: Transfer to a fax machine in the message center
8: Transfer to Aviation
9: Leave a confidential message for Enron Chairman
Please contact the Resolution Center at 3-1411 for assistance
    
ETS customers should continue to contact the ETS Solution Center-Houston at 713-345-4745 or 888-465-4745, and the ETS Solution Center-Omaha at 402-398-7454.
 ",,,The Resolution Center the Resolution Center the ENW IT Resolution Center Enron
4,"Phillip,

I will get a room for our Wednesday 10:00 meeting and e-mail you with the
room number. FYI, our goal is to discuss the expert path (best answers) for
the storage problem and to ask you some specific questions regarding
storage.

Also, if you have time, could you send me a definition of Intra-Month Risk?

Thank you for your help.
Mery


This message is for the designated recipient only and may contain
privileged, proprietary, or otherwise private information.  If you have
received it in error, please notify the sender immediately and delete the
original.  Any other use of the email by you is prohibited.",Phillip,,FYI
5,"Questions about 12/29 rentroll:

 There were two deposits that were not labeled.  One for $150 and the other 
for $75.  Which apartments?  20a or #13?

 Utility overages for #26 and #44?  Where did you get these amounts?  For 
what periods?

 
What is going on with #42.   Do not evict this tenant for being unclean!!!  
That will just create an apartment that we will have to spend a lot of money 
and time remodeling.  I would rather try and deal with this tenant by first 
asking them to clean their apartment and fixing anything that is wrong like 
leaky pipes.  If that doesn't work, we should tell them we will clean the 
apartment and charge them for the labor.  Then we will perform monthly 
inspections to ensure they are not damaging the property.  This tenant has 
been here since September 1998, I don't want to run them off.

I check with the bank and I did not see that a deposit was made on Tuesday so 
I couldn't check the total from the rentroll against the bank.  Is this 
right?  Has the deposit been made yet?


 A rentroll for Jan 5th will follow shortly.

Phillip",Phillip,150 75 13 26 44 42,
6,"George,

I am back in the office and ready to focus on the project.  I still have the 
concerns that I had last week.  Specifically that the costs of our project 
are too high.  I have gathered more information that support my concerns.  
Based on my research, I believe the project should cost around $10.5 
million.  The components are as follows:

 Unit Cost, Site work, &
 builders profit($52/sf)   $7.6 million

 Land      1.15

 Interim Financing     .85

 Common Areas       .80

 Total     $10.4

Since Reagan's last 12 units are selling for around $190,000, I am unable to 
get comfortable building a larger project at over $95,000/unit in costs.  

Also, the comps used in the appraisal from Austin appear to be class A 
properties.  It seems unlikely that student housing in San Marcos can produce 
the same rent or sales price.  There should adjustments for location and the 
seasonal nature of student rental property.  I recognize that Sagewood is 
currently performing at occupancy and $/foot rental rates that are closer to 
the appraisal and your pro formas, however, we do not believe that the market 
will sustain these levels on a permanent basis.  Supply will inevitablely 
increase to drive this market more in balance.

After the real estate expert from Houston reviewed the proforma and cost 
estimates, his comments were that the appraisal is overly optimistic.  He 
feels that the permanent financing would potentially be around $9.8 million.  
We would not even be able to cover the interim financing.

Keith and I have reviewed the project thoroughly and are in agreement that we 
cannot proceed with total cost estimates significantly above $10.5 million.   
We would like to have a conference call tomorrow to discuss alternatives.

Phillip 

  
",George Reagan Sagewood Keith Phillip,"around $10.5 
million $7.6 million 10.4 around $190,000 over $95,000 around $9.8 million above $10.5 million",
7,"Stephanie

Please grant Paul the requested eol rights

Thanks,
Phillip",Paul the Phillip,,Stephanie
8,"Lucy,

Here is the rentroll from last friday.  

The closing was to be this Thursday but it has been delayed until Friday 
April 20th.  If you can stay on until April 20th that would be helpful.  If 
you have made other commitments I understand.

Gary is planning to put an A/C in #35. 

You can give out my work numer (713) 853-7041

Phillip ",Lucy Gary Phillip,35,
9,"I would like to have a copy of the appraisal.  See you Monday at 2.

Phillip",Phillip,,
10,"Please remove from email.

Phillip Allen

 ","Phillip Allen

 ",,
11,"Stephane,

 Can you create an e-mail list to distribute your reports everyday to the 
west desk?
Or put them on a common drive?  We can do the same with our reports.   List 
should include:

 Phillip Allen
 Mike Grigsby
 Keith Holst
 Frank Ermis
 Steve South
 Janie Tholt
 Tory Kuykendall
 Matt Lenhart
 Randy Gay

Thanks.

Phillip","Stephane Phillip Allen Mike Grigsby Keith Holst
  Frank Ermis Steve South Janie Tholt Tory Kuykendall Matt Lenhart Randy Gay Phillip",,
12,"The topic will the the western natural gas market.  I may have overhead 
slides.  I will bring handouts.",,,
13,"Jacques,

Can you draft the partnership agreement and the construction contract?  

The key business points are:

1.  Investment is a loan with prime + 1% rate

2.  Construction contract is cost plus $1.4 Million

3.  The investors' loan is repaid before any construction profit is paid.

4.  All parties are GP's but 3 out 4 votes needed for major decisions?

5.  60/40 split favoring the investors.

With regard to the construction contract, we are concerned about getting a 
solid line by line cost estimate and clearly defining what constitutes 
costs.  Then we need a mechanism to track the actual expenses.  Keith and I 
would like to oversee the bookkeeping.  The builders would be requred to fax 
all invoices within 48 hours.  We also would want online access to the 
checking account of the partnership so we could see if checks were clearing 
but invoices were not being submitted.

Let me know if you can draft these agreements.  The GP issue may need some 
tweaking.  

Phillip Allen
713-853-7041
",Jacques Phillip Allen,$1.4 Million,GP
