,mail_content,person_entity,money_entity,organisation_entity
0,"What is GIS info?  Can you do this?



",,,GIS
1,"Jeff/Brenda,

Please authorize and forward to Tara Sweitzer.

Please set up the following with the ability to setup and manage products in 
stack manager:

 Steve South
 Tory Kuykendall
 Janie Tholt 
 Frank Ermis
 Matt Lenhart
 
      Note:  The type of product these traders will be managing is less than 
1 month physical in the west.


Also please grant access & passwords to enable the above traders to execute 
book to book trades on EOL.  If possible restrict their 
execution authority to products in the first 3 months.

Thank you 

Phillip Allen","Jeff/Brenda Tara Sweitzer Steve South
  Tory Kuykendall Janie Tholt Frank Ermis Matt Lenhart Phillip Allen",,
2,"Due to some problems with my email yesterday, I may not have received your 
RSVP.....please excuse any confusion this may have caused.


RSVP REQUESTED!

The Environmental Strategies Group will convene an ""Emissions Strategy 
Meeting"" on Friday, May 18 to discuss global emissions issues -- such as air 
quality regulation, climate change and U.S. multipollutant legislation -- and 
explore some of the potential business opportunities for Enron commercial 
groups.

WHEN:  Friday, May 18
TIME:   10:00 am - 3:00 pm - lunch will be provided
WHERE:  Enron Building, 8C1 (8th floor)

A video conference is being organized to enable broad participation from the 
London office and a teleconference will be set up for others who would like 
to call in.

The primary objectives of the session are to 1) provide you with the latest 
information on emissions regulation, markets, and Enron's advocacy efforts 
worldwide and 2) receive feedback on your commercial interests and input on 
policy options so that we may develop the best business and policy strategies 
for Enron in both the short and long term.  We invite you or a member of your 
group to participate in this important strategic discussion.

Please RSVP as soon as possible and let us know if you plan to participate in 
person, via teleconference or via video conference from the London office.

An agenda is forthcoming.  If you have any questions or suggestions in 
advance of the meeting, please do not hesitate to contact me or Jeff Keeler.

We look forward to your participation.

Lisa Jacobson
Enron
Manager, Environmental Strategies
1775 Eye Street, NW
Suite 800
Washington, DC 20006

Phone: +(202) 466-9176
Fax: +(202) 331-4717",Jeff Keeler Lisa Jacobson,,The Environmental Strategies Group Enron Enron Building
3,"Let me know when you get the quotes from Pauline.  I am expecting to pay 
something in the $3,000 to $5,000 range.  I would like to see the quotes and 
a description of the work to be done.  It is my understanding that some rock 
will be removed and replaced with siding.  If they are getting quotes to put 
up new rock then we will need to clarify.

Jacques is ready to drop in a dollar amount on the release.  If the 
negotiations stall, it seems like I need to go ahead and cut off the 
utilities.  Hopefully things will go smoothly.

Phillip",Pauline Jacques Phillip,"$3,000 to $5,000",
4,please add mike grigsby to distribution,mike grigsby,,
5,"Bob,

Let me know how I can help with the variance application.

Phillip

 ",Bob Phillip,,
6,"In a message dated 1/4/00 3:18:50 PM Eastern Standard Time,
",,,
7,"Lucy,

#32 and #29 are fine.  

#28 paid weekly on 1/5.  Then he switched to biweekly.  He should have paid 
260 on 1/12.  Two weeks rent in advance.  Instead he paid 260 on 1/19.  He 
either needs to get back on schedule or let him know he is paying in the 
middle of his two weeks.  He is only paid one week in advance.  This is not a 
big deal, but you should be clear with tenants that rent is due in advance.

Here is an updated rentroll.  Please use this one instead of the one I sent 
you this morning.

Finally, can you fax me the application and lease from #9.



Phillip",Lucy,32 29 28 9,
8,"Lucy,

Here is a rentroll for this week.  I still have questions on #28,#29, and #32.
",Lucy,"28,#29 32",
9,"sorry didnt respond to your message.   don't know how to do that instant 
messenger thing anymore.  volume very, very light.  most of stated volume in 
spreads and TAS.  No one seems to want to be in the office this week.   
Everyone wants to get this year over with.  
Keep pumping in the fundamental info.   very good stuff and i'm not getting 
it anywhere else.


   
	
	
	From:  Jennifer Fraser                           12/26/2000 12:16 PM
	

",nt Jennifer Fraser,,
